# Old Chinese reconstruction data by Baxter and Sagart (http://ocbaxtersagart.lsait.lsa.umich.edu/BaxterSagartOC2015-10-13.xlsx)
# Released under CC-BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
zi,py,MC,,OC,gloss,GSR,HYDZD,rad,str,Unicode
埃,āi,'oj,('- + -oj A),*qˤə ,dust,0938b,10447.15,32,7,U+57C3
哀,āi,'oj,('- + -oj A),*ʔˤəj ,to pity; sad,0550h,10620.10,30,6,U+54C0
藹,ǎi,'ajH,('- + -aj C),*qˤa[t]-s ,"ample, numerous",0313a',53328.03,140,16,U+85F9
阸,ài,'eaH,('- + -ea C),*qˤ<r>[i]k-s ,a narrow pass,0844g,64124.01,170,5,U+9638
隘,ài,'eaH,('- + -ea C),*qˤ<r>[i]k-s ,a narrow pass,0849h,64152.15,170,10,U+9698
愛,ài,'ojH,('- + -oj C),*[q]ˤə[p]-s ,to love; to grudge (< ‘draw close to oneself’?),0508a,42323.01,61,9,U+611B
僾,ài,'ojH,('- + -oj C),*qˤəp-s ,"to pant, lose the breath",0508d,10226.08,9,13,U+50FE
艾,ài,ngajH,(ng- + -aj C),*C.ŋˤa[t]-s ,Artemisia; moxa,0347c,53172.09,140,2,U+827E
鞌,ān,'an,('- + -an A),*[ʔ]ˤa[n] ,[place name],0146-,74335.09,177,6,U+978C
鞍,ān,'an,('- + -an A),*[ʔ]ˤa[n] ,[place name],0146-,74335.08,177,6,U+978D
安,ān,'an,('- + -an A),*[ʔ]ˤa[n] ,peace(ful),0146a,20913.09,40,3,U+5B89
安,ān,'an,('- + -an A),*[ʔ]ˤa[n] ,how,0146a,20913.09,40,3,U+5B89
安,ān,'an,('- + -an A),*[ʔ]ˤa[n] ,"安息 Ānxī (Iranian country in the western regions, W. Hàn; from Aršaka = Arsaces, founder of the Arsacid dynasty)",0146a,20913.09,40,3,U+5B89
晻,ǎn,'omX,('- + -om B),*qˤ[o]mʔ ,dark,0614e,21517.13,72,8,U+667B
按,àn,'anH,('- + -an C),*ʔˤa[n]-s ,repress,0146d,31876.01,64,6,U+6309
案,àn,'anH,('- + -an C),*ʔˤa[n]-s ,stool; tray,0146e,21207.08,75,6,U+6848
晻,àn,'omH,('- + -om C),*qˤ[o]m(ʔ)-s ,dark,0614e,21517.13,72,8,U+667B
暗,àn,'omH,('- + -om C),*qˤum-s ,dark,0653h,21526.06,72,9,U+6697
黬,àn,keam,(k- + -eam A),*[k]ˤr[ə]m ,black blot,0671k,74752.11,203,9,U+9EEC
岸,àn,nganH,(ng- + -an C),*[ŋ]ˤa[r]-s ,bank of a river,0139e',10766.04,46,5,U+5CB8
豻,àn,nganH,(ng- + -an C),*m-[ɢ]ˤa[r]-s ,wild dog,0139d',63908.03,153,3,U+8C7B
卬,áng,ngang,(ng- + -ang A),*[k.ŋ]ˤaŋ ,high; lift high,0699a,10310.12,26,2,U+536C
卬,áng,ngang,(ng- + -ang A),*ŋˤaŋ ,"I, me",0699a,10310.12,26,2,U+536C
㼜,àng,'angH,('- + -ang C),*ʔˤaŋ-s ,basin; (tublike:) swollen,0718j,21423.10,98,5,U+3F1C
敖,áo,ngaw,(ng- + -aw A),*[ŋ]ˤaw ,tall,1130a,21456.13,66,7,U+6556
囂,áo,ngaw,(ng- + -aw A),*[ŋ]ˤaw ,"clamor, many voices; arrogant",1140a,10706.05,30,18,U+56C2
敖,áo,ngaw,(ng- + -aw A),*ŋˤaw ,saunter about,1130a,21456.13,66,7,U+6556
嗸,áo,ngaw,(ng- + -aw A),*ŋˤaw ,distressed cry ,1130f,10664.05,30,11,U+55F8
熬,áo,ngaw,(ng- + -aw A),*ŋˤaw ,"fry, roast (v.)",1130h,32226.04,86,11,U+71AC
媼,ǎo,'awX,('- + -aw B),*ʔˤuʔ ,old woman,1244e,21071.21,38,10,U+5ABC
奧,ào,'awH,('- + -aw C),*ʔˤuk-s ,southwest corner of a house,1045a,10547.03,37,10,U+5967
澳,ào,'awH,('- + -aw C),*ʔˤuk-s ,"bay, cove",1045b,31744.08,85,13,U+6FB3
巴,bā,pae,(p- + -ae A),*pˤra ,snake,0039a,20985.01,49,1,U+5DF4
巴,bā,pae,(p- + -ae A),*pˤra ,[place name],0039a,20985.01,49,1,U+5DF4
豝,bā,pae,(p- + -ae A),*pˤra ,"sow, pig",0039d,63612.05,152,4,U+8C5D
八,bā,peat,(p- + -eat D),*pˤret ,eight,0281a,10241.03,12,0,U+516B
軷,bá,bat,(b- + -at D),*[b]ˤ[a]t ,sacrifice to the gods of the road,0276e,53520.06,159,5,U+8EF7
茇,bá,bat,(b- + -at D),*m-pˤ[a]t ,halt in the open,0276g,53189.02,140,5,U+8307
拔,bá,beat,(b- + -eat D),*bˤ<r>ot ,uproot,0276h,31850.03,64,5,U+62D4
茇,bá,pat,(p- + -at D),*pˤ[a]t ,halt in the open,0276g,53189.02,140,5,U+8307
胈,bá,pat,(p- + -at D),*pˤot ,small hairs on body; roots of grass,0276f,32057.07,130,5,U+80C8
把,bǎ,paeX,(p- + -ae B),*pˤraʔ ,grasp (v.),0039b,31845.04,64,4,U+628A
罷,bà,beaX,(b- + -ea B),*[b]ˤrajʔ ,"stop, cease",0026a,42924.12,122,10,U+7F77
霸,bà,paeH,(p- + -ae C),*pˤrak-s ,have hegemony,0772b,64077.19,173,13,U+9738
白,bái,baek,(b- + -aek D),*bˤrak ,white,0782a,42642.01,106,0,U+767D
百,bǎi,paek,(p- + -aek D),*pˤrak ,hundred,0781a,42643.01,106,1,U+767E
柏,bǎi,paek,(p- + -aek D),*pˤrak ,cypress,0782j,21185.03,75,5,U+67CF
敗,bài,baejH,(b- + -aej C),*N-pˤra[t]-s ,suffer defeat,0320f,21462.02,66,7,U+6557
稗,bài,beaH,(b- + -ea C),*C.[b]ˤre-s ,weed resembling grain,0874s,42613.11,115,8,U+7A17
敗,bài,paejH,(p- + -aej C),*pˤra[t]-s ,defeat (v.t.),0320f,21462.02,66,7,U+6557
拜,bài,peajH,(p- + -eaj C),*C.pˤro[t]-s ,"bow, bend (v.)",0328a,31846.07,64,5,U+62DC
班,bān,paen,(p- + -aen A),*pˤ<r>an ,"divide, distribute",0190a,21113.03,96,6,U+73ED
頒,bān,paen,(p- + -aen A),*pˤ<r>ə[n] (MC F!),distribute,0471p,74362.01,181,4,U+9812
朌,bān,paen,(p- + -aen A),*pˤ<r>ə[n] (MC V!),distribute,0471y,32050.05,74,4,U+670C
斑,bān,paen,(p- + -aen A),*pˤran ,variegated,0190c,21123.04,67,8,U+6591
搬,bān,pan,(p- + -an A),*Cə.pˤan ,move,0182-,31933.02,64,10,U+642C
板,bǎn,paenX,(p- + -aen B),*C.pˤranʔ ,"plank, board",0262j,21172.03,75,4,U+677F
板,bǎn,paenX,(p- + -aen B),*pˤranʔ ,perverse,0262j,21172.03,75,4,U+677F
阪,bǎn,pjonX,(p- + -jon B),*pa[n]ʔ ,"slope, bank ",0262g,64117.12,170,4,U+962A
伴,bàn,banX,(b- + -an B),*[C.b]ˤanʔ ,comrade,0181c,10139.01,9,5,U+4F34
辦,bàn,beanH,(b- + -ean C),*[b]ˤren-s ,"manage, deal with",0219f,64042.05,160,9,U+8FA6
半,bàn,panH,(p- + -an C),*pˤan-s ,half,0181a,10046.01,24,3,U+534A
邦,bāng,paewng,(p- + -aewng A),*pˤroŋ ,country,1197e,63756.14,163,4,U+90A6
蚌,bàng,baewngX,(b- + -aewng B),*[b]ˤroŋʔ ,"oyster, mussel",1197d,42836.05,142,4,U+868C
蜯,bàng,baewngX,(b- + -aewng B),*[b]ˤroŋʔ ,"oyster, mussel",1197g',42858.07,142,8,U+872F
傍,bàng,bangH,(b- + -ang C),*[b]ˤaŋ-s ,beside; assist,0740m',10205.06,9,10,U+508D
榜,bàng,paengH,(p- + -aeng C),*pˤraŋ-s ,oar,0740p',21268.12,75,10,U+699C
謗,bàng,pangH,(p- + -ang C),*pˤaŋ-s ,slander,0740k',64008.04,149,10,U+8B17
包,bāo,paew,(p- + -aew A),*pˤ<r>u ,"wrap, bundle",1113a,10257.06,20,3,U+5305
胞,bāo,paew,(p- + -aew A),*pˤ<r>u ,womb,1113b,32062.07,130,5,U+80DE
苞,bāo,paew,(p- + -aew A),*pˤ<r>u ,reed mat for wrapping,1113c,53195.06,140,5,U+82DE
褒,bāo,paw,(p- + -aw A),*pˤu ,praise (v.),1057h,53101.09,145,9,U+8912
雹,báo,baewk,(b- + -aewk D),*C.[b]ˤruk ,hail,1113n,64061.05,173,5,U+96F9
飽,bǎo,paewX,(p- + -aew B),*pˤruʔ ,be satiated,1113d,74448.12,184,5,U+98FD
保,bǎo,pawX,(p- + -aw B),*pˤuʔ ,protect,1057a,10160.04,9,7,U+4FDD
寶,bǎo,pawX,(p- + -aw B),*pˤuʔ ,precious thing,1059a,20958.03,40,17,U+5BF6
抱,bào,bawX,(b- + -aw B),*[m-p]ˤuʔ ,carry in the arms,1113j,31856.04,64,5,U+62B1
暴,bào,bawH,(b- + -aw C),*[b]ˤawk-s ,violent,1136a,21532.15,72,11,U+66B4
瀑,bào,buwk,(b- + -uwk D),*[b]ˤawk ,waterfall?,1136c,31778.01,85,15,U+7011
豹,bào,paewH,(p- + -aew C),*pˤr[e]wk-s ,leopard,1244k,63908.06,153,3,U+8C79
爆,bào,paewH,(p- + -aew C),*pˤrawk-s ,explode (not pre-Qín),1136-,32245.11,86,15,U+7206
報,bào,pawH,(p- + -aw C),*pˤuk-s ,repay,1058a,10466.04,32,9,U+5831
悲,bēi,pij,(p- + -ij A),*prəj ,sad,0579u,42310.04,61,8,U+60B2
陂,bēi,pje,(p- + -je A),*p(r)a[j] ,river bank; dike,0025i,64124.05,170,5,U+9642
碑,bēi,pje,(p- + -je A),*pre ,stele; upright pole of stone or wood,0874d,42438.06,112,8,U+7891
卑,bēi,pjie,(p- + -jie A),*pe ,"low, humble",0874a,10063.01,24,6,U+5351
卑,bēi,pjie,(p- + -jie A),*pe ,鮮卑 *s[a]r.pe Xiānbēi,0874a,10063.01,24,6,U+5351
杯,bēi,pwoj,(p- + -woj A),*pˤə ,cup,0999o,21166.02,75,4,U+676F
北,běi,pok,(p- + -ok D),*pˤək ,north,0909a,10262.04,21,3,U+5317
拔,bèi,bajH,(b- + -aj C),*bˤot-s ,thinned out (forest),0276h,31850.03,64,5,U+62D4
備,bèi,bijH,(b- + -ij C),*[b]rək-s ,complete (adj.),0984d,10200.08,9,10,U+5099
被,bèi,bjeX,(b- + -je B),*m-pʰ(r)ajʔ ,coverlet,0025e,53085.11,145,5,U+88AB
被,bèi,bjeH,(b- + -je C),*m-pʰ(r)ajʔ-s ,cover (v.),0025e,53085.11,145,5,U+88AB
倍,bèi,bwojX,(b- + -woj B),*[b]ˤəʔ ,double,0999c',10183.04,9,8,U+500D
孛,bèi,bwojH,(b- + -woj C),*[b]ˤ[u]t-s ,comet,0491a,21011.05,39,4,U+5B5B
悖,bèi,bwojH,(b- + -woj C),*[b]ˤut-s ,confused,0491d,42302.15,61,7,U+6096
誖,bèi,bwojH,(b- + -woj C),*[b]ˤut-s ,confused talk,0491e,63974.07,149,7,U+8A96
焙,bèi,bwojH,(b- + -woj C),*[b]ˤə-s ,"bake, roast [not in GSR]",0999-,32210.13,86,8,U+7119
背,bèi,bwojH,(b- + -woj C),*m-pˤək-s ,turn the back on,0909e,32058.04,130,5,U+80CC
偝,bèi,bwojH,(b- + -woj C),*m-pˤək-s ,turn the back on,0909f,10188.14,9,9,U+505D
誖,bèi,bwot,(b- + -wot D),*[b]ˤut ,confused talk,0491e,63974.07,149,7,U+8A96
貝,bèi,pajH,(p- + -aj C),*pˤa[t]-s ,cowry shell,0320a,63622.01,154,0,U+8C9D
背,bèi,pwojH,(p- + -woj C),*pˤək-s ,the back,0909e,32058.04,130,5,U+80CC
賁,bēn,pwon,(p- + -won A),*pˤur ,"ardent, brave",0437a,63630.04,154,5,U+8CC1
奔,bēn,pwon,(p- + -won A),*pˤur ,run (v.),0438a,10533.01,37,6,U+5954
本,běn,pwonX,(p- + -won B),*C.pˤə[n]ʔ ,tree trunk,0440a,21151.01,75,1,U+672C
畚,běn,pwonX,(p- + -won B),*pˤu[n]ʔ ,basket,0439a,42539.06,102,5,U+755A
祊,bēng,paeng,(p- + -aeng A),*pˤraŋ ,side of the temple gate; sacrifice there,0740j',42389.03,113,4,U+794A
繃,bēng,peang,(p- + -eang A),*pˤrəŋ ,to bind around,0886o,53443.09,120,11,U+7E43
崩,bēng,pong,(p- + -ong A),*Cə.pˤəŋ ,"collapse (v., of a mountain)",0886m,10781.14,46,8,U+5D29
琫,běng,puwngX,(p- + -uwng B),*pˤoŋʔ ,scabbard ornament,1197e',21119.03,96,8,U+742B
迸,bèng,peangH,(p- + -eang C),*pˤreŋ-s ,drive out,0824m,63832.05,162,6,U+8FF8
堋,bèng,pongH,(p- + -ong C),*pˤəŋ-s ,put coffin in grave,0886k,10455.09,32,8,U+580B
偪,bī,pik,(p- + -ik D),*prək ,"to press, urge",0933n,10187.02,9,9,U+506A
逼,bī,pik,(p- + -ik D),*prək ,"urge, press",0933p,63856.08,162,9,U+903C
鼻,bí,bjijH,(b- + -jij C),*Cə-bi[t]-s ,smell (v.t.),0521c,74779.01,209,0,U+9F3B
鼻,bí,bjijH,(b- + -jij C),*m-bi[t]-s ,nose,0521c,74779.01,209,0,U+9F3B
