word	function	roman	meaning	freq
一	Neu	yi1	det.: one	58398
在	P21	zai4	in,at,on,etc.	56774
有	V_2	you3	have,possess	45849
個	Nfa	ge5	m.[general]	41105
我	Nhaa	wo3	I,me,ego,self	40333
不	Dc	bu4	non,do not,no,nowise,not,nope,nae,no more,nix	39013
這	Nep	zhe4	now,this,det.: this,it	33661
了	Di	le5	entirely	31879
他	Nhaa	ta1	he, she, it, they (referring to inanimate things in object position)	30029
也	Dbb	ye3	also,too,as well,either,even	29647
就	Dd	jiu4	then, at once, right away, an indicator strengthening speaker's evaluation	29212
人	Nab	ren2	person, people	24259
都	Dab	dou1	all,even,already	20405
說	VE2	shuo1	speak,talk,explain,scold	19628
而	Cbca	er2	conj.: and yet	18453
我們	Nhaa	wo3 men5	we	18152
你	Nhaa	ni3	you	17299
了	Ta	le5	particle: indicating new situation; indicating completed action	15959
要	Dbab	yao4	must,should	15956
會	Dbaa	hui4	will	14067
對	P31	dui4	toward	13944
及	Caa	ji2	conj.: and	13761
和	Caa	he2	conj.: and	13587
與	Caa	yu3	conj.: and,together with	13448
以	P11	yi3	using, taking, from a point on, because of	13174
很	Dfa	hen3	pretty,thrice,monstrously,gey,quite,mighty,stinking,sopping,some,assai,full,most,clinking,much,thumping,awfully,fiendishly,thundering,very,real,really,bally,proper,grossly,powerful,so,rattling,well,considerably,greatly,terribly	13016
種	Nfc	zhong3	m.[kind]	12263
的	Ta	de5	particle: emphasizing an action/situation	11579
大	VH13	da4	great,macro,old,very,vast,tall,big,high,much	11577
能	Dbab	neng2	can or to be capable of	11123
著	Di	zhe5	[aspect]	11033
她	Nhaa	ta1	she,her,she (neologism for {1ta1}[2]),)	10776
那	Nep	na4	det.: that	10738
上	Ncda	shang4	on,above	10650
但	Cbca	dan4	conj.: but,yet,still,nevertheless,only,merely	10243
年	Nfg	nian2	m.[standard]	10121
還	Dbb	hai2	still,yet,also,too,as well,besides	9698
可以	Dbab	ke3 yi3	can,may	9670
最	Dfa	zui4	most,to the highest degree,much,superlatively	9417
自己	Nhab	zi4 ji3	lonesome,number_one,own,ego,self,oneself,name	9071
為	P02	wei2	by	9031
來	Dbab	lai2	to	8993
所	Dab	suo3	that which	8869
他們	Nhaa	ta1 men5	they	8818
兩	Neu	liang3	det.: two,both (sides),either (side),a few,some	8703
各	Nes	ge4	det.: each,every	8652
可	Dbab	ke3	can,may	8508
為	P66	wei2	be,become	8369
為	VG1	wei2	be,become	8369
或	Caa	huo4	conj.: or,either or	8320
好	VH11	hao3	good	8305
等	Cab	deng3	conj.: and so on, etc	8070
又	Dd	you4	again,moreover	8035
將	Dd	jiang1	be about to	7859
因為	Cbaa	yin1 wei4	conj.: because,for,on account of	7592
於	P23	yu1	in,at,to,from,out of,by	7395
由	P06	you2	from,via,by,through,owing/due to	7345
從	P19	cong2	from,since,through	7303
更	Dfa	geng4	more,still/even more,further,furthermore	7298
被	P02	bei4	by	7272
才	Dd	cai2	then and only then, just now, only (before a number)	7266
才	Daa	cai2	then and only then, just now, only (before a number)	7266
已	Dd	yi3	already	7257
者	Nab	zhe3	nominal suffix,one who,-er	7221
每	Nes	mei3	det.: every	7207
次	Nfi	ci4	m.[activity]	7088
把	P07	ba3	indicating pre-verbal object as thing dealt with by the action	7024
三	Neu	san1	det.: three	6953
什麼	Nep	she2 me5	anything,what	6729
問題	Nac	wen4 ti2	problem,mishap,query,job,interface,question,inquiry,matter,enquiry,trouble,issue,worry,subject,topic,hang-up,business,quaere	6683
其	Nep	qi2	det.: its,his,her,their,it,this,that	6667
讓	VL4	rang4	allow,induce sb. to do sth.	6624
此	Nep	ci3	this,det.: this,here	6599
做	VC31	zuo4	make,do	6597
再	Dbb	zai4	again,once more,further(more),in a higher degree,and then,not (do sth.) before	6564
所以	Cbca	suo3 yi3	conj.: so,therefore,as a result	6529
只	Daa	zhi3	only,merely	6521
與	P35	yu3	with,to	6520
則	Dbb	ze2	then,in that case	6476
台灣	Nca	tai2 wan1	Taiwan	6415
卻	Dbb	que4	however,but,yet,indeed	6389
並	Cbcb	bing4	conj.: and	6173
位	Nfa	wei4	location,digit,m.[general],,status,figure,throne,position,place,condition	6016
想	VE2	xiang3	think,suppose,reckon,consider,want to,would like to,feel like (doing sth.)	5896
去	Dbab	qu4	in order to	5750
呢	Tc	ne5	particle: marking quesitons about subject already mentioned; indicating strong affirmation	5577
學生	Nab	xue2 sheng1	academic,pupil,pup,tutee,follower,scholar,schoolchild,schoolboy,alumnus,disciple,learner,scholastic,student	5527
表示	VE2	biao3 shi4	demonstrate,exhibit,prove,show,extend,manifest,express,stamp,signify,mark,witness,look,give,denote,evince,expression,bespeak,say,profess,mean,offer,utter,infer,indicate,represent,read,speak,refer,give tongue to,intend,be,shew,pay,stand_for,establish,stand for,present,render,betoken	5505
到	P61	dao4	up until	5469
公司	Ncb	gong1 si1	place of business,business organization,incorporation,establishment,business concern,office,concern,business establishment,business,enterprise,company,corporation	5421
將	P07	jiang1	introducing object of main verb	5367
如果	Cbaa	ru2 guo3	conj.: if	5336
社會	Nac	she4 hui4	community,society,monde,social,public	5282
看	VC2	kan4	see,look at,watch,read,look upon,regard,look after,call on,visit	5200
小	VH13	xiao3	small,little,petty,minor;young	5051
天	Nfg	tian1	m.[standard]	5038
因此	Cbca	yin1 ci3	conj.: therefore,consequently	4991
新	VH11	xin1	new,fresh,up-to-date	4978
但是	Cbca	dan4 shi4	conj.: but,however,yet,still	4972
它	Nhaa	ta1	they (neologism for {1ta1}[3] [4]), [4]),),this,that,it	4964
中	Ncda	zhong1	center,middle,interior	4891
使	VL4	shi3	rarefy,piss_off,germinate,drench,blow_out,leave,cut_up,refract,run,dress_up,compose,shed,frizz,put_off,trot,send,strike,send (as envoy),peal,alienate,pull_in,tone_up,bring around,astound,sublease,wither,cripple,bed_down,address,rehearse,usage,warm,smell_out,throw,inflect,get_down,skunk,capsize,congeal,bowl_over,bring_on,unseat,ensure,amalgamate,pro	4645
工作	Nac	gong1 zuo4	work,job	4620
全	Neqa	quan2	det.: all,Surname,whole,Quan	4569
覺得	VK1	jue2 de5	imagine,guess,believe,reckon,suspect,suppose,think,listen,feel,consider,think_of,appear,conceive	4441
使用	VC2	shi3 yong4	use,employ,apply	4417
使用	Nv1	shi3 yong4	use,employ,apply	4417
這些	Neqa	zhe4 xie1	det.: these	4390
裡	Ncda	li3	inside	4311
並	Dbb	bing4	actually,truly	4238
由於	Cbba	you2 yu1	conj.:  owing/due/thanks to	4192
時候	Nad	shi2 hou4	day,moment,(a point in) time,(duration of) time,time	4179
知道	VK1	zhi1 dao4	tell,have,ken,understand,infer,wis,learn,cognize,gather,know,be aware of,wise up,savvy,mind,realize	4160
這樣	VH11	zhe4 yang4	so,such,like this,this way	4138
一	Dd	yi1	as soon as	4071
認為	VE2	ren4 wei2	find,treat,deem,suppose,look_on,repute,discount,esteem,accredit,feel,account,calculate,estimate,take to be,reckon,expect,think,hold,trust,recognise,opine,sound off,adjudge,consideration,consider,regard as,look upon,believe_in,disbelieve,allow,conceive,regard,call,imagine,view,forecast,believe,suspect,rate,animadvert,look on,listen,speak up,figure,c	4070
時間	Nad	shi2 jian1	moment,day,clock time,fourth_dimension,relativity,hour,duration,time,when,while,temporal,economy	4044
事	Nac	shi4	responsibility,trouble,event,thing,worry,accident,case,involvement,work,affair,job,concern,business,toast,matter	4008
過	Di	guo4	[aspect]	3939
向	P62	xiang4	to,towards	3935
可能	Dbaa	ke3 neng2	probably,maybe	3928
中國	Nca	zhong1 guo2	junk,Cathay,China,china	3900
美國	Nca	mei3 guo2	House_of_Representatives,the United States of America,US,U.S.A.,bench,Columbia,Yankeeland,U.S.,United States,Democrat,Yankeedom,USA,America,United States of America	3826
到	VC1	dao4	arrive,reach,go to	3739
和	P35	he2	(together) with	3730
幾	Neu	ji3	det.: how many,a few,several,some	3721
系統	Nac	xi4 tong3	lineage,filiation,scheme,pedigree,system,formation,superstructure,programme,organization,succession,tract,system of rules,organisation,program	3635
政府	Nac	zheng4 fu3	sirkar,state,country,nation,governmental,body politic,government,administration,civil order,polity,commonwealth,regime,res publica,land	3613
大家	Nhab	da4 jia1	sundry,great master,rich and influential family,pontiff,all of us,everyone,authority,master,distinguished family	3565
國家	Nac	guo2 jia1	sirkar,state,country,patria,a people,nationality,nation,republic,soli,body politic,clime,national,civil order,polity,commonwealth,land,res publica	3550
許多	Neqa	xu3 duo1	lot,scores,lots,sight,pot,heap,quantity,plenty,slews,ton,battalion,many,scads,tidy sum,power,spate,chunk,pile,crowd,vastness,batch,lashings,whole lot,mint,mound,pocketful,large number,trunkful,ream,mickle,great deal,flock,mass,slew,heaps,a lot of,piles,whole slew,mess,raff,slue,gobs,much,lotta,multitude,volume,wad,store,raft,tons,satiety,rafts,doze	3548
生活	Nad	sheng1 huo2	life,existence,livelihood	3543
跟	P63	gen1	with, to, from	3540
已經	Dd	yi3 jing1	already	3518
大學	Ncb	da4 xue2	university,college	3510
研究	Nac	yan2 jiu4	study,research	3485
因	Cbaa	yin1	conj.: because,as	3476
本	Nes	ben3	det.: this	3462
二	Neu	er4	det.: two, second	3450
活動	Nac	huo2 dong4	activity,maneuver,behavior	3432
該	Nes	gai1	det.: this, that	3380
世界	Ncb	shi4 jie4	mundane,creation,world,monde,orb,nature,domain	3375
應	Dbaa	ying1	should,ought to	3370
四	Neu	si4	det.: four	3367
希望	VK1	xi1 wang4	hope,wish	3365
方式	Nac	fang1 shi4	path,plan,pattern,tenor,system,method,manner,style,way,guise,fashion,wise,means,shape,how,embodiment,agency,gate,mode,sort	3363
內	Ncda	nei4	inside	3354
項	Nfa	xiang4	m.[general]	3329
啊	Tc	a1	particle: used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation	3320
下	Ng	xia4	under (condition/fact etc.)	3298
環境	Nac	huan2 jing4	circumambiency,environmental,circumstances,environment,entourage,surround,atmosphere,setting,surroundings,ambiance,condition,context,circumstance,surrounding,frame,milieu,ambient,consideration,environs,medium,ambience	3276
一些	Neqa	yi1 xie1	det.: some, a few, a little	3240
必須	Dbab	bi4 xu1	must	3231
文化	Nad	wen2 hua4	civilization,literacy,acculturation,Kultur,vandalism,cultural,education,schooling,culture	3218
高	VH13	gao1	tall,high	3206
孩子	Nab	hai2 zi5	kid,issue,chap,daughter,children,sonny,son or daughter,child,spawn,boy,kipper,son	3201
沒有	Dc	mei2 you3	not have,there is not,be without	3196
不能	Dbab	bu4 neng2	must/may/can not,not be allowed	3145
如	P47	ru2	according to,in accordance with,such as,as if,like,for example	3142
開始	VL2	kai1 shi3	begin,start	3134
開始	VH11	kai1 shi3	begin,start	3134
開始	Nv4	kai1 shi3	begin,start	3134
元	Nfg	yuan2	m.[standard]	3132
不同	VH11	bu4 tong2	different	3113
仍	Dd	reng2	yet,anyway,still	3098
網路	Nac	wang3 lu4	WWW,net,network,Internet,meshwork,web,world wide web,mesh,reticulation	3095
日本	Nca	ri4 ben3	Nippon,Cipango,Nihon,Japan,japan,Japanese	3061
用	P39	yong4	with	3046
中心	!Ncb	zhong1 xin1	center,heart,hub	3046
來	VA11	lai2	come,arrive	3040
對	VH11	dui4	right; correct	3038
雖然	Cbaa	sui1 ran2	conj.: though,although	3011
重要	Nv4	zhong4 yao4	important,significant,major	2991
重要	VH11	zhong4 yao4	important,significant,major	2991
地方	Nab	di4 fang1	country,soil,terrain,part,clime,way,territory,room,neighbourhood,tinderbox,locality (as distinct from the central administrat,child,tract,province,position,respect,where,region,space,place,local	2990
進行	Nv1	jin4 xing2	be in progress,go on,carry on/out	2963
進行	VC2	jin4 xing2	be in progress,go on,carry on/out	2963
關係	Nad	guan1 xi4	relation,bearing,impact,membership credentials,"backdoor connections"	2951
市場	Ncb	shi4 chang3	bourse,bazar,marketplace,grocery store,agora,bazaar,securities industry,grocery,piazza,plaza,rialto,mart,pitch,market	2950
太	Dfa	tai4	excessively, too, extremely, very	2893
老師	Nab	lao3 shi1	rabbi,professor,swami,instructor,teacher,mast	2871
提供	VD1	ti2 gong1	feed,offer,put_up,afford,proffer,set_up,capitalize,bring_forward,sponsor,extend,ply,provision,sustain,equip,supply,cough_up,bear,render,furnish,cater,billet,provide	2870
學校	Ncb	xue2 xiao4	seminary,schoolhouse,educational institution,school,institution	2857
應該	Dbaa	ying1 gai1	should,ought to	2839
指出	VE2	zhi3 chu1	point,point_out,catch_out,bespeak,indicate,denote,point out (that),note,show,designate,point out	2838
經濟	Nad	jing1 ji4	economy,financial condition,income	2831
其他	Neqa	qi2 ta1	det.: others,the rest,other,else	2818
家	Ncb	jia1	family,household,home,house	2814
家	!Ncb	jia1	family,household,home,house	2814
發展	Nv1	fa1 zhan3	develop,expand,grow	2796
發展	VC2	fa1 zhan3	develop,expand,grow	2796
教育	Nad	jiao4 yu1	education	2778
成為	VG2	cheng2 wei2	find,join,comprise,turn to,commemorate,sample,entomb,come_up,commence,get hold,learn,add up,necessitate,run,make up,constitute,make,form,come,amount,represent,fall,presage,change,be,turn,turn into,become,line up,come up,shape,portend,foretell,get	2774
多	VH13	duo1	many,much,more,more than the correct/required number,excessive,too much,much/far more	2751
非常	Dfa	fei1 chang2	extraordinary,unusual,special,very,extremely,highly	2737
便	Dd	bian4	as early as,soon afterwards,little as,as early,and then,and so,so,as early/little as,as little as,then,in that case	2722
方面	Nac	fang1 mian4	side,aspect,sector,part,light,facet,behalf,way,respect,direction,bearing,field,phase,sphere,angle,hand	2659
很多	Neqa	hen3 duo1	det.:	2640
吃	VC31	chi1	feed,have,be subject to,absorb,chow,live on,eat,have one's meals,be a strain,exhaust,fare,take in,live off,annihilate,wipe out,partake,suffer,ingest,consume,graze,lunch,manducate,incur,take,get,use up,make,taste,soak up	2636
然後	Dd	ran2 hou4	therewith,and so,and_then,and then,thereupon,after that,so,then,with that	2634
未	Dc	wei4	or not (at end of sentence),have not yet,or not,not	2629
發現	VE2	fa1 xian4	find,discover	2626
電腦	Nab	dian4 nao3	electronic computer,computery,data processor,information processing system,computer	2622
一樣	VH11	yi1 yang4	same,equal,similar	2619
而且	Cbcb	er2 qie3	conj.: furthermore,and	2613
心	Nab	xin1	heart,mind,feeling,center,core	2604
心	!Nab	xin1	heart,mind,feeling,center,core	2604
不過	Cbca	bu2 guo4	conj.: but, however, only	2598
無法	Dbab	wu2 fa3	nohow,unable to,unable,cannot	2592
企業	Nac	qi4 ye4	proposition,business enterprise,business organization,business concern,concern,commercial enterprise,endeavour,endeavor,industry,business,project,corporation,enterprise	2588
正	Dd	zheng4	precisely,punctually	2575
服務	VC2	fu2 wu4	be in the service of,serve	2574
服務	Nv1	fu2 wu4	be in the service of,serve	2574
較	Dfa	jiao4	rather,quite,relatively,more	2573
不會	Dbaa	bu2 hui4	won't	2573
臺灣	Nca	tai2 wan1	Taiwan	2572
曾	Dd	zeng1	once,ever,before	2558
嗎	Td	ma1	particle: calling for agreement or disagreement	2557
空間	Nac	kong1 jian1	elbow room,allowance,margin,roomage,open air/sky/space,road,leeway,way,open air,sheets,room,tolerance,opening,clear,sky,spacial,interspace,vacuity,spatial,dimension,open sky/space,space,place,vacuum	2554
看到	VE2	kan4 dao4	view,receive,ken,observe,lamp,catch,see,take in,watch,chatter away,lay_eyes_on,boast,brag,shoot the breeze,spy,catch sight of, catch sight of	2551
五	Neu	wu3	det.: five	2548
如何	Dh	ru2 he2	how	2543
國內	Ncc	guo2 nei4	interior (of country),interior,home,intestine,internal,domestic	2537
們	Naea	men5	pluralizer after pronouns and nouns of persons	2522
無	VJ3	wu2	not have,there is not	2519
對於	P32	dui4 yu1	(in regard) to,toward,at,for	2518
以及	Caa	yi3 ji2	conj.: as well as, along with, and	2511
之後	Ng	zhi1 hou4	later,behind,at the back of,after	2495
可是	Cbca	ke3 shi4	conj.: but, yet, however	2488
當	P16	dang1	when,while	2487
人員	Nab	ren2 yuan2	strength,personnel,force,staff	2486
比	P49	bi3	compared with	2475
先	Dd	xian1	earlier,in advance,before	2465
產品	Nab	chan3 pin3	baby,brand,output,product,produce,end product,merchandise,fruitage,growth,manufacture,wares,production	2457
資訊	Nad	zi1 xun4	stuff,message,information,news,info	2450
資料	Nab	zi1 liao4	food,source,info,means,data,information,material,datum,data point,matter	2449
比較	Dfa	bi3 jiao3	relatively,fairly	2426
先生	Nab	xian1 sheng1	doctor of Chinese medicine,Don,mulla,Ms.,sir.,teacher,gentleman,gospodin,Signor,signor,fortune-teller,babu,baboo,Herr,Mister,bey,mister,bwana,husband,siree,buckra,sirrah,senor,guv,sahib,Mr.,rabbi,don,signore,Dan,sir,m'sieur,effendi,Tuan,baas,Monsieur,lording,monsieur,doctor,Mr,milord,Mynheer,signior,esquire,bookkeeper,Senor,rabboni,Senhor,sieur,sen	2423
地	Naa	di4	the earth,land,soil,fields,ground,place,position,background,distance	2420
除了	P50	chu2 le5	except,besides	2403
大陸	Nca	da4 lu4	Ch. mainland	2358
需要	VK2	xu1 yao4	need,want,require,demand	2350
像	P55	xiang4	be like	2342
在	Dd	zai4	indicating an action in progress	2340
給	VD1	gei3	give,give to	2336
歲	Nfg	sui4	year (for crops),m.[standard],,year of age,year (of age),year,annum,year for crops	2332
請	VF2	qing3	request,ask (a favor),engage,hire (teacher/etc.),Please...	2296
月	Nab	yue4	moon	2281
些	Nfd	xie1	m.[proximation]	2267
名	Nfa	ming2	m.[general]	2263
另	Nes	ling4	det.: another	2260
若	Cbaa	ruo4	conj.: if,as if	2233
亦	Dbb	yi4	also,too	2190
地區	Ncb	di4 qu1	section,country,area,latitude,zone,terrain,parts,locality,sector,province,prefecture,region,district,faubourg	2173
技術	Nac	ji4 shu4	mechanics,know-how,prowess,science,Minerva,superior skill,art,competence,technology,craft,craftsmanship,skill,education,technique,artistry,engineering,technological,equipment,technical	2172
至	P61	zhi4	to, until, till	2162
特別	VH11	te4 bie2	unusual,specially	2157
其實	Dbb	qi2 shi2	as a matter of fact,actually,in fact	2156
國際	Ncc	guo2 ji4	international	2155
不要	Dbab	bu2 yao4	never,noway,don't want,don't (do sth.)	2154
發生	VJ1	fa1 sheng1	happen,occur,take place	2149
發生	Nv3	fa1 sheng1	happen,occur,take place	2149
參加	VC2	can1 jia1	join,attend,take part in,give (advice/etc.)	2147
一定	Dbaa	yi1 ding4	must	2138
其中	Nep	qi2 zhong1	among,of them,in it,among them,which,them,det.: it,in,in which	2134
問	VE11	wen4	ask,examine,question,interrogate	2103
台北	Nca	tai2 bei3	capital of Nationalist China,capital of Republic of China on Taiwan,Taipei	2102
包括	VK2	bao1 kuo4	consist_of,consist of,subtend,embrace,comprise,incorporate,embody,involve,count,subsume,take_in,comprehend,incorporation,include,comprize,run,cover,package,consist in	2087
講	VE2	jiang3	discourse,utter,talk,negotiation,make clear,negotiate,parley,pay attention to,speak,syllable,discuss,explain,tell,be particular about,explanation,interpretation,interpret,relate,discussion,stress,mouth,say,remark,verbalize	2069
造成	VC31	zao4 cheng2	make_for,give rise to,create,set_up,strike,creation,cause,contribute,bring_about,procure,give,bring about,cut_out,necessitate,shape,present,bring_forth,generate,yield,make,breed	2067
看	VE2	kan4	think,consider	2028
像	VG2	xiang4	be like,resemble	2022
常	Dd	chang2	often,usually,frequently	2022
即	Dd	ji2	at present,in the immediate future,then,promptly,at once	2018
喜歡	Nv2	xi3 huan1	like,love,be fond of,be happy/elated	1994
喜歡	VK1	xi3 huan1	like,love,be fond of,be happy/elated	1994
去	VC1	qu4	go,go to	1994
沒	Dc	mei2	not	1967
出現	VH14	chu1 xian4	appear,arise,emerge	1966
出現	Nv4	chu1 xian4	appear,arise,emerge	1966
政治	Nad	zheng4 zhi4	paternalism,trouble,government,policy,political relation,political science,polity,politics,political affairs,political	1964
話	Nac	hua4	words,thing,language,tongue,talk,speech,spoken_language,conversation,utterance,expression,story,tale,saying,natural language,sayings,word	1958
走	VA11	zou3	scram,travel,foot,go away,evaporate,ankle,waltz,step,bugger off,etc.,go through,leave,leak,run,buzz off,leg,pad,fork,visit,go,escape,lose flavor,work,call on,strike,sashay,trace,pursue,gang,lose shape/etc.,get_along,come_along,walk,hoof it,lose flavor/shape/etc.,leg it,let out,shape,drive,cover,take,get,hoof,move	1954
單位	Nac	dan1 wei4	department,unit,denomination,module,building block,unit of measurement,monad,unit (in measurement or organization)	1952
一直	Dd	yi1 zhi2	e'er,away,continuously,all the way,right,forever,all_along,always,the whole way,all along,straight,slap,through,ever,evermore	1951
吧	Tc	ba5	particle: used to show mild imperative or uncertainty	1949
是否	Dj	shi4 fou3	whether or not,is it so or not	1944
當然	Dbb	dang1 ran2	certainly,of course	1938
整	Neqa	zheng3	det.: exact	1919
整	Neqb	zheng3	det.: exact	1919
處理	VC2	chu3 li3	handle,deal with,dispose of,process	1907
處理	Nv1	chu3 li3	handle,deal with,dispose of,process	1907
歷史	Nad	li4 shi3	past records,historical,history	1907
了解	Nv2	liao3 jie3	understand,comprehend,find out,acquaint oneself with	1869
了解	VK1	liao3 jie3	understand,comprehend,find out,acquaint oneself with	1869
那	Dk	na4	then,in that case	1868
怎麼	Dj	zen3 me5	how	1859
機會	Nac	ji1 hui4	scouth,occasion,good luck,hap,liberty,fortune,opportunity,chance,joss,hazard,happy chance,probability,luck,scope,room,break,turn,opening	1851
家	Nfa	jia1	m.[general]	1842
聽	VE2	ting1	hear,list,hearken,obey,obedience,listen,heed,administer,let,allow,hark	1833
所有	Neqa	suo3 you3	det.: all	1828
只要	Cbaa	zhi3 yao4	conj.: so long as,provided	1828
