# Original data from http://www5a.biglobe.ne.jp/accent/kana/jion.htm;
# Modified to include compatibility ideographs
# Note: pronunciations may differ even when the radical is the same
現代標準発音,現代仮名遣い,字音仮名遣い
イ,イ,い,已以伊夷衣依矣医醫怡易倚椅移異意縊
イ,イ,ゐ,位囲圍委萎威為爲畏胃謂蝟韋偉葦違緯唯惟帷維尉慰彙遺
イキ,イキ,いき,弋
イキ,イキ,ゐき,或域閾
イク,イク,いく,育毓郁
イク,イク,ゐく,彧煜粥鬻
# old and new do not differ
イチ,イチ,いち,一弌壱壹
# old and new do not differ
イツ,イツ,いつ,一弌壱壹乙聿佚軼逸逸溢鎰鷸
イン,イン,いん,允引印因咽姻胤音殷慇恁淫婬陰蔭隠隱寅飲
イン,イン,ゐん,尹員韻院
エ,エ,え,衣依
エ,エ,ゑ,回囘廻会會絵繪壊壞懐懷恵惠慧淮衛衞穢
エエ,エイ,えい,永泳咏詠曳洩英瑛映盈営營瑩鋭影叡嬰纓裔穎翳
エエ,エイ,ゑい,栄榮衛衞
# old and new do not differ
エキ,エキ,えき,役疫易蜴鯣亦奕益益液掖腋駅驛懌訳釈繹埸
エチ,エチ,ゑち,越
エツ,エツ,えつ,悦悅閲謁謁謁咽
エツ,エツ,ゑつ,曰戉越鉞粤
エン,エン,えん,延筵炎焔沿衍宴焉偃堰閻煙鉛塩鹽演椽縁厭燕臙艶奄掩俺鳶
エン,エン,ゑん,円圓宛苑怨婉豌鴛袁遠猿園薗渕淵援媛垣冤
オ,オ,お,阿淤
オ,オ,を,乎汚於悪惡烏嗚和
オオ,オウ,おう,応應鷹膺区欧歐殴毆嘔謳鴎嫗甌渥
オオ,オウ,あう,央桜櫻鸚奥奧襖墺懊澳鴬鶯鴦媼鏖
オオ,オウ,あふ,凹圧壓押鴨
オオ,オウ,おふ,邑
オオ,オウ,わう,王皇凰旺枉汪往徃黄横橫
オオ,オウ,をう,翁
オク,オク,おく,奥奧億憶臆
オク,オク,をく,屋
オチ,オチ,をち,越粤
オツ,オツ,おつ,乙
オツ,オツ,をつ,榲膃越
オン,オン,おん,音恩陰蔭隠飲厭
オン,オン,をん,苑怨温園遠穏穩
カ,カ,か,下可何呵河珂荷苛訶歌加伽茄珈迦架嘉佳価價仮假暇瑕蝦霞夏家嫁稼個箇
カ,カ,くゎ,火戈化花華嘩樺譁訛靴貨禾科蝌過渦蝸禍禍鍋窩瓜和果菓課顆寡
ガ,ガ,が,牙芽雅我俄峨餓駕賀衙
ガ,ガ,ぐゎ,瓦画畫臥
カイ,カイ,かい,介芥改戒械誡界堺皆偕階楷諧海海海開拐喙解邂蟹鎧
カイ,カイ,くゎい,回囘徊廻灰恢詼乖会會檜桧絵繪快怪悔悔悔晦誨傀塊隗瑰槐魁潰壊壞懐懷
ガイ,ガイ,がい,亥咳劾該骸害涯崖街凱鎧概慨碍礙蓋
ガイ,ガイ,ぐゎい,外巍
カク,カク,かく,角革各恪喀格客閣核覚覺撹攪隔膈殻殼較赫嚇確鶴塙
カク,カク,くゎく,画畫劃拡擴郭廓霍穫獲攫掴
# old and new do not differ
ガク,ガク,がく,学學岳嶽楽樂咢愕鄂萼諤鍔顎額鰐壑
カチ,カチ,かち,喝葛褐
カツ,カツ,かつ,渇喝羯葛褐割轄甲合恰
カツ,カツ,くゎつ,活括刮筈闊滑猾豁
ガツ,ガツ,がつ,合歹
ガツ,ガツ,ぐゎつ,月
カン,カン,かん,干汗刊旱桿奸肝竿悍幹乾菅翰韓栞甘柑邯嵌酣甲坎看閑勘堪敢瞰間閒簡癇寒感憾喊緘鹹漢漢漢羹監檻鑑艦函凾姦陥陷諫艱侃
カン,カン,くゎん,完浣莞官棺管館舘冠巻卷串患貫慣換喚渙款寛寬関關緩環還勧勸歓歡観觀灌鑵罐缶斡
ガン,ガン,がん,含岸岩眼雁顔癌贋巌巖龕
ガン,ガン,ぐゎん,丸元玩頑翫願
キュウ,キュウ,きゅう,弓穹躬窮宮
キュウ,キュウ,きう,九仇鳩究久玖灸柩丘旧舊臼休朽求救球毬裘糾糺嗅厩廏廐
キュウ,キュウ,きふ,及汲吸級笈泣急給
ギュウ,ギュウ,ぎう,牛
キョオ,キョウ,きょう,凶兇共供拱胸恐跫興矜恭
キョオ,キョウ,きゃう,兄況匡向狂誑京景亨享杏香馨強彊経經軽輕競竸竟境鏡郷鄕響響 響饗卿敬警驚梗慶
キョオ,キョウ,けう,叫孝教敎校梟喬蕎僑橋嬌矯驕
キョオ,キョウ,けふ,莢侠挟挾陜狭狹峡峽鋏頬怯協脇脅劫叶
ギョオ,ギョウ,ぎょう,凝
ギョオ,ギョウ,ぎゃう,仰行刑形杏慶
ギョオ,ギョウ,げう,尭堯暁曉驍校
ギョオ,ギョウ,げふ,業
コオ,コウ,こう,口叩工虹紅虹鴻公勾孔功弘后垢逅攻拘肯後厚亘亙恒恆洪哄侯候喉控貢寇興薨溝構媾購覯
コオ,コウ,かう,亢坑抗杭航江巧肛項腔亨交効效狡咬校皎郊絞鮫向仰昂好行桁考孝哮酵更梗硬幸倖肴庚康糠巷港香浩皓耕高髙稿縞藁岡綱鋼膏降黄膠衡耗睾講昊皋皐
コオ,コウ,かふ,甲岬合恰閤閘
コオ,コウ,くゎう,広廣曠宏紘肱鉱鑛黄光恍洸晄胱晃幌滉皇徨煌荒慌
コオ,コウ,こふ,劫
ゴオ,ゴウ,がう,号號拷剛郷鄕強豪濠壕毫降傲囂轟
ゴオ,ゴウ,がふ,合
ゴオ,ゴウ,ごふ,劫業哈盒
ジ,ジ,じ,二尓示而寺侍時恃蒔字次耳自司事似児兒辞辭慈滋磁餌爾璽
ジ,ジ,ぢ,地治持峙痔
ジキ,ジキ,じき,食色
ジキ,ジキ,ぢき,直
ジク,ジク,じく,肉宍
ジク,ジク,ぢく,竺軸柚
ジツ,ジツ,じつ,日実實十入拾
ジツ,ジツ,ぢつ,昵衵
# old and new do not differ
ジャ,ジャ,じゃ,邪蛇者社闍麝
ジャク,ジャク,じゃく,若惹弱蒻鶸寂雀鵲笛著藉籍
ジャク,ジャク,ぢゃく,搦
# old and new do not differ
ジュ,ジュ,じゅ,入从戍寿壽受授綬呪咒従從珠殊銖訟就鷲聚驟需儒濡襦蠕誦樹堅豎乳
シュウ,シュウ,しゅう,主宗崇嵩衆聚終柊
シュウ,シュウ,しう,収收囚舟州洲酬秀秋萩鍬愁祝祝修脩周週就蹴鷲臭臭袖羞酋醜讐讎皺繍驟蒐
シュウ,シュウ,しふ,拾習褶執集葺輯襲
ジュウ,ジュウ,じゅう,充銃戎絨従從縦縱
ジュウ,ジュウ,じう,柔蹂獣獸
ジュウ,ジュウ,じふ,十什汁入渋澁拾
ジュウ,ジュウ,ぢゅう,中住重頭
# old and new do not differ
ジュク,ジュク,じゅく,孰熟塾宿
ジュツ,ジュツ,じゅつ,朮戌述術恤
ジュツ,ジュツ,ぢゅつ,怵
# old and new do not differ
ジュン,ジュン,じゅん,巡旬侚徇恂洵殉詢筍笋准準隼純淳惇諄錞醇鶉盾循楯閏潤順馴遵蓴
ジョ,ジョ,じょ,汝如恕絮助序叙敍徐抒舒
ジョ,ジョ,ぢょ,女除
ショオ,ショウ,しょう,升丞承昇陞松訟頌従從縦縱慫聳称稱秤竦症証證勝誦衝踵鍾憧鐘
ショオ,ショウ,しゃう,上井正政鉦生性姓笙庄粧匠床声聲尚廠昌唱娼菖晶牀青靑清淸精精請錆荘莊装裝裳相湘省将將蒋奨奬獎漿醤祥祥詳翔章樟障彰商星猩象掌傷觴聖筝諍賞償嘗牆檣薔
ショオ,ショウ,せう,小少抄鈔召沼招昭紹照詔笑肖宵消哨逍悄梢硝銷鞘焼燒焦憔樵蕉礁瀟嘯蕭簫楢篠鍬椒
ショオ,ショウ,せふ,妾接捷睫渉摂攝摺
ジョオ,ジョウ,じょう,冗乗乘剰剩丞烝蒸縄繩茸
ジョオ,ジョウ,じゃう,上井生政成城盛晟状浄淨常青靑情靖靖静靜鎖譲讓壌壤攘穣穰嘗
ジョオ,ジョウ,ぜう,擾蕘繞饒
ジョオ,ジョウ,ぢゃう,丈仗杖定掟諚錠貞娘場嬢孃醸釀鄭
ジョオ,ジョウ,でう,条條嫋
ジョオ,ジョウ,でふ,帖畳疊疉
ジョク,ジョク,じょく,辱蓐溽褥縟
ジョク,ジョク,ぢょく,濁耨
ジン,ジン,じん,人仁刃靭壬尽盡燼甚糂神腎尋迅訊稔
ジン,ジン,ぢん,沈陣塵賃
ズ,ズ,ず,受数事
ズ,ズ,づ,豆逗厨頭図圖途徒杜
# old and new do not differ
ズイ,ズイ,ずい,遂隋随隨髄髓惴瑞蕊蘂痿穂
ズウ,ズウ,づう,通
ソオ,ソウ,そう,宋叟捜搜痩走宗綜奏湊怱送惣曽曾僧僧僧層層贈葱総總聡叢嗽漱薮藪
ソオ,ソウ,さう,双雙爪庄早草壮壯荘莊装裝争爭筝相想霜倉創槍蒼愴瘡嫂艘桑巣掃爽窓窗曹漕遭槽糟葬喪操澡噪燥躁藻掻騒騷鞘
ソオ,ソウ,さふ,匝挿插颯
ゾオ,ゾウ,ぞう,曽曾僧僧僧憎憎憎憎増增贈贈贈
ゾオ,ゾウ,ざう,造象像蔵藏臓臟
ゾオ,ゾウ,ざふ,雑雜
チュウ,チュウ,ちゅう,中仲沖忠虫蟲注柱註駐駐誅偸衷厨頭
チュウ,チュウ,ちう,丑紐肘酎宙抽紬昼晝鋳鑄疇籌
チョオ,チョウ,ちょう,重澄徴懲寵塚塚
チョオ,チョウ,ちゃう,丁打釘庁廰廳聴聽町長帳張脹漲挺頂停提腸暢
チョオ,チョウ,てう,兆挑逃眺跳銚弔鳥蔦超朝嘲潮調彫凋掉鯛釣肇
チョオ,チョウ,てふ,帖貼喋牒諜蝶
トオ,トウ,とう,冬疼投豆逗痘登灯燈頭闘鬪東凍棟桐筒透偸桶樋統等謄騰藤籐読兜董
トオ,トウ,たう,刀当當宕到倒挑逃桃党黨堂唐糖島嶋搗討悼掉套盗盜淘陶萄湯蕩滔稲稻蹈韜蟷螳蟷涛濤擣祷撞橙櫂
トオ,トウ,たふ,納答塔搭沓踏鞜
ドオ,ドウ,どう,同洞桐胴筒銅動働童僮憧瞳撞
ドオ,ドウ,だう,堂道導撓瞠獰
ニュウ,ニュウ,にゅう,乳
ニュウ,ニュウ,にう,柔
ニュウ,ニュウ,にふ,入
ニョオ,ニョウ,にょう,女
ニョオ,ニョウ,ねう,尿遶繞鐃
ノオ,ノウ,のう,能農濃膿
ノオ,ノウ,なう,悩惱脳腦瑙曩嚢
ノオ,ノウ,なふ,納衲
ヒュウ,ヒュウ,ひう,彪
ビュウ,ビュウ,びう,謬繆
ヒョオ,ヒョウ,ひょう,氷冰憑
ヒョオ,ヒョウ,ひゃう,平評兵拍
ヒョオ,ヒョウ,へう,表俵豹票剽漂標瓢飄彪
ビョオ,ビョウ,びゃう,平屏病瓶甁鋲
ビョオ,ビョウ,べう,苗描猫錨秒渺廟
ホオ,ホウ,ほう,奉捧俸峰峯逢烽蜂鋒蓬縫朋崩封豊豐鳳鵬宝寶報呆保堡褓褒襃
ホオ,ホウ,はう,方芳彷昉訪包泡咆庖抱炮胞砲袍疱鞄飽邦放倣抛萌萠棚焙烹幇硼
ホオ,ホウ,はふ,法
# note:（仏教用語）
ホオ,ホウ,ほふ,法
ボオ,ボウ,ぼう,呆冒冐帽某謀棒貿剖牟眸暴戊
ボオ,ボウ,ばう,亡忙妄忘芒茫惘卯昴坊防妨昉肪紡房旁傍膀謗茅萌萠望貌尨厖膨髦
ボオ,ボウ,ぼふ,乏
ミョオ,ミョウ,みゃう,名命明冥
ミョオ,ミョウ,めう,妙苗
モオ,モウ,もう,毛耄耗蒙濛朦帽
モオ,モウ,まう,亡妄盲望罔網魍孟猛莽
ユウ,ユウ,ゆう,勇湧裕雄融熊
ユウ,ユウ,いう,又尤友右佑祐由柚釉有侑宥幽悠郵酉猶楢遊游誘憂優
ユウ,ユウ,いふ,邑揖
ヨオ,ヨウ,よう,用容溶蓉熔鎔庸傭涌湧慂踊蛹擁孕膺鷹
ヨオ,ヨウ,えう,夭妖幼拗要腰揺搖瑶瑤遥遙徭謡謠窯曜燿耀邀杳
ヨオ,ヨウ,えふ,葉
ヨオ,ヨウ,やう,羊洋痒揚陽楊煬瘍様樣養癢瑩影瓔
リュウ,リュウ,りゅう,隆隆竜龍
リュウ,リュウ,りう,柳流琉硫留溜澑瑠瘤劉
リュウ,リュウ,りふ,立粒笠
リョオ,リョウ,りょう,菱凌崚稜陵綾竜龍
リョオ,リョウ,りゃう,令冷玲領嶺羚両兩輛裲良亮梁涼凉掠椋諒量糧霊靈
リョオ,リョウ,れう,了料聊寥寮僚遼燎療瞭
リョオ,リョウ,れふ,猟獵漁
ロオ,ロウ,ろう,弄陋楼樓漏朧篭籠聾露
ロオ,ロウ,らう,老牢労勞郎郞榔螂浪狼朗朗琅廊廊廊粮瀧
ロオ,ロウ,らふ,﨟臈臘蝋摺
