# The joyo (Japan general use) kanji with their meanings and readings.
# are subsets of Unihan deemed to be general use (e.g. obscure meanings and readings are left out).
# Copied from https://en.wikipedia.org/wiki/List_of_j%C5%8Dy%C5%8D_kanji, which was copied from https://www.bunka.go.jp/kokugo_nihongo/sisaku/joho/joho/kijun/naikaku/pdf/joyokanjihyo_20101130.pdf.
number,new,old,radical,strokes,grade,year_added,English_meaning,on-yomi,kun-yomi
1,亜,亞,二,7,S,,sub-,ア,
2,哀,,口,9,S,,pathetic,アイ,あわ-れ|あわ-れむ
3,挨,,手,10,S,2010,push open,アイ,
4,愛,,心,13,4,,love,アイ,
5,曖,,日,17,S,2010,not clear,アイ,
6,悪,惡,心,11,3,,bad,アク|オ,わる-い
7,握,,手,12,S,,grip,アク,にぎ-る
8,圧,壓,土,5,5,,pressure,アツ,
9,扱,,手,6,S,,handle,,,あつか-う
10,宛,,宀,8,S,2010,allocate,,,あ-てる
11,嵐,,山,12,S,2010,storm,,,あらし
12,安,,宀,6,3,,cheap,アン,やす-い
13,案,,木,10,4,,plan,アン,
14,暗,,日,13,3,,dark,アン,くら-い
15,以,,人,5,4,,by means of,イ,
16,衣,,衣,6,4,,clothes,イ,ころも
17,位,,人,7,4,,rank,イ,くらい
18,囲,圍,囗,7,4,,surround,イ,かこ-む|かこ-う
19,医,醫,酉,7,3,,medicine,イ,
20,依,,人,8,S,,reliant,イ|（エ）
21,委,,女,8,3,,committee,イ,ゆだ-ねる
22,威,,女,9,S,,intimidate,イ,
23,為,爲,爪,9,S,,do,イ,
24,畏,,田,9,S,2010,fear,イ,おそ-れる
25,胃,,肉,9,4,,stomach,イ,
26,尉,,寸,11,S,,military officer,イ,
27,異,,田,11,6,,uncommon,イ,こと
28,移,,禾,11,5,,shift,イ,うつ-る|うつ-す
29,萎,,艸,11,S,2010,wither,イ,な-える
30,偉,,人,12,S,,admirable,イ,えら-い
31,椅,,木,12,S,2010,chair,イ,
32,彙,,彐,13,S,2010,same kind,イ,
33,意,,心,13,3,,idea,イ,
34,違,,辵,13,S,,differ,イ,ちが-う|ちが-える
35,維,,糸,14,S,,fiber,イ,
36,慰,,心,15,S,,consolation,イ,なぐさ-める|なぐさ-む
37,遺,,辵,15,6,,bequeath,イ|（ユイ）
38,緯,,糸,16,S,,horizontal,イ,
39,域,,土,11,6,,range,イキ,
40,育,,肉,8,3,,nurture,イク,そだ-つ|そだ-てる|はぐく-む
41,一,,一,1,1,,one,イチ|イツ,ひと|ひと-つ
42,壱,壹,士,7,S,,one (falsification prevention),イチ,
43,逸,逸,辵,11,S,,deviate,イツ,
44,茨,,艸,9,S,2010,thorn,,（いばら）
45,芋,,艸,6,S,,potato,,,いも
46,引,,弓,4,2,,pull,イン,ひ-く|ひ-ける
47,印,,卩,6,4,,mark,イン,しるし
48,因,,囗,6,5,,cause,イン,よ-る
49,咽,,口,9,S,2010,throat,イン,
50,姻,,女,9,S,,matrimony,イン,
51,員,,口,10,3,,member,イン,
52,院,,阜,10,3,,institution,イン,
53,淫,,水,11,S,2010,lewdness,イン,みだ-ら
54,陰,,阜,11,S,,shade,イン,かげ|かげ-る
55,飲,,食,12,3,,drink,イン,の-む
56,隠,隱,阜,14,S,,conceal,イン,かく-す|かく-れる
57,韻,,音,19,S,,rhyme,イン,
58,右,,口,5,1,,right (direction),ウ|ユウ,みぎ
59,宇,,宀,6,6,,eaves,ウ,
60,羽,,羽,6,2,,feather,ウ,は|はね
61,雨,,雨,8,1,,rain,ウ,あめ|（あま）
62,唄,,口,10,S,2010,song,,（うた）
63,鬱,,鬯,29,S,2010,gloom,ウツ,
64,畝,,田,10,S,,furrow,,,うね
65,浦,,水,10,S,,bay,,,うら
66,運,,辵,12,3,,carry,ウン,はこ-ぶ
67,雲,,雨,12,2,,cloud,ウン,くも
68,永,,水,5,5,,eternity,エイ,なが-い
69,泳,,水,8,3,,swim,エイ,およ-ぐ
70,英,,艸,8,4,,England,エイ,
71,映,,日,9,6,,reflect,エイ,うつ-る|うつ-す|は-える
72,栄,榮,木,9,4,,prosperity,エイ,さか-える|は-え|は-える
73,営,營,火,12,5,,manage,エイ,いとな-む
74,詠,,言,12,S,,recitation,エイ,よ-む
75,影,,彡,15,S,,shadow,エイ,かげ
76,鋭,,金,15,S,,pointed,エイ,するど-い
77,衛,衞,行,16,5,,defense,エイ,
78,易,,日,8,5,,easy,エキ|イ,やさ-しい
79,疫,,疒,9,S,,epidemic,エキ|（ヤク）
80,益,,皿,10,5,,benefit,エキ|（ヤク）
81,液,,水,11,5,,fluid,エキ,
82,駅,驛,馬,14,3,,station,エキ,
83,悦,,心,10,S,,ecstasy,エツ,
84,越,,走,12,S,,cross over,エツ,こ-す|こ-える
85,謁,謁,言,15,S,,audience,エツ,
86,閲,,門,15,S,,review,エツ,
87,円,圓,囗,4,1,,round|yen,エン,まる-い
88,延,,廴,8,6,,prolong,エン,の-びる|の-べる|の-ばす
89,沿,,水,8,6,,run alongside,エン,そ-う
90,炎,,火,8,S,,inflammation,エン,ほのお
91,怨,,心,9,S,2010,grudge,エン|オン,
92,宴,,宀,10,S,,banquet,エン,
93,媛,,女,12,S,2010,princess,エン,
94,援,,手,12,S,,aid,エン,
95,園,,囗,13,2,,garden,エン,その
96,煙,,火,13,S,,smoke,エン,けむ-る|けむり|けむ-い
97,猿,,犬,13,S,1981,monkey,エン,さる
98,遠,,辵,13,2,,far,エン|（オン）,とお-い
99,鉛,,金,13,S,,lead,エン,なまり
100,塩,鹽,鹵,13,4,,salt,エン,しお
101,演,,水,14,5,,perform,エン,
102,縁,緣,糸,15,S,,affinity,エン,ふち
103,艶,艷,色,19,S,2010,glossy,エン,つや
104,汚,,水,6,S,,dirty,オ,けが-す|けが-れる|けが-らわしい|よご-す|よご-れる|きたな-い
105,王,,玉,4,1,,king,オウ,
106,凹,,凵,5,S,1981,concave,オウ,
107,央,,大,5,3,,center,オウ,
108,応,應,心,7,5,,respond,オウ,こた-える
109,往,,彳,8,5,,outward journey,オウ,
110,押,,手,8,S,,push,オウ,お-す|お-さえる
111,旺,,日,8,S,2010,flourishing,オウ,
112,欧,歐,欠,8,S,,Europe,オウ,
113,殴,毆,殳,8,S,,assault,オウ,なぐ-る
114,桜,櫻,木,10,5,,cherry tree,オウ,さくら
115,翁,,羽,10,S,,venerable old man,オウ,
116,奥,奧,大,12,S,,heart,オウ,おく
117,横,橫,木,15,3,,side,オウ,よこ
118,岡,,山,8,S,2010,hill,,（おか）
119,屋,,尸,9,3,,roof,オク,や
120,億,,人,15,4,,hundred million,オク,
121,憶,,心,16,S,,recollection,オク,
122,臆,,肉,17,S,2010,timidity,オク,
123,虞,,虍,13,S,,uneasiness,,おそれ
124,乙,,乙,1,S,,the latter,オツ,
125,俺,,人,10,S,2010,I|we,,おれ
126,卸,,卩,9,S,,wholesale,,おろ-す|おろし
127,音,,音,9,1,,sound,オン|イン,おと|ね
128,恩,,心,10,5,,grace,オン,
129,温,溫,水,12,3,,warm,オン,あたた-か|あたた-かい|あたた-まる|あたた-める
130,穏,穩,禾,16,S,,calm,オン,おだ-やか
131,下,,一,3,1,,below,カ|ゲ,した|しも|もと|さ-げる|さ-がる|くだ-る|くだ-す|くだ-さる|お-ろす|お-りる
132,化,,匕,4,3,,change,カ|ケ,ば-ける|ば-かす
133,火,,火,4,1,,fire,カ,ひ|（ほ）
134,加,,力,5,4,,add,カ,くわ-える|くわ-わる
135,可,,口,5,5,,possible,カ,
136,仮,假,人,6,5,,temporary,カ|（ケ）,かり
137,何,,人,7,2,,what,カ,なに|（なん）
138,花,,艸,7,1,,flower,カ,はな
139,佳,,人,8,S,,excellent,カ,
140,価,價,人,8,5,,value,カ,あたい
141,果,,木,8,4,,fruit,カ,は-たす|は-てる|は-て
142,河,,水,8,5,,river,カ,かわ
143,苛,,艸,8,S,2010,torment,カ,
144,科,,禾,9,2,,section,カ,
145,架,,木,9,S,,rack,カ,か-ける|か-かる
146,夏,,夊,10,2,,summer,カ|（ゲ）,なつ
147,家,,宀,10,2,,house,カ|ケ,いえ|や
148,荷,,艸,10,3,,luggage,カ,に
149,華,,艸,10,S,,splendor,カ|（ケ）,はな
150,菓,,艸,11,S,,confectionery,カ,
151,貨,,貝,11,4,,freight,カ,
152,渦,,水,12,S,1981,whirlpool,カ,うず
153,過,,辵,12,5,,go beyond,カ,す-ぎる|す-ごす|あやま-つ|あやま-ち
154,嫁,,女,13,S,,marry into,カ,よめ|とつ-ぐ
155,暇,,日,13,S,,spare time,カ,ひま
156,禍,禍,示,13,S,,calamity,カ,
157,靴,,革,13,S,1981,shoes,カ,くつ
158,寡,,宀,14,S,,widow,カ,
159,歌,,欠,14,2,,song,カ,うた|うた-う
160,箇,,竹,14,S,,counters for things,カ,
161,稼,,禾,15,S,1981,earnings,カ,かせ-ぐ
162,課,,言,15,4,,section,カ,
163,蚊,,虫,10,S,,mosquito,,か
164,牙,,牙,4,S,2010,tusk,ガ|（ゲ）,きば
165,瓦,,瓦,5,S,2010,tile,ガ,かわら
166,我,,戈,7,6,,ego,ガ,われ|わ
167,画,畫,田,8,2,,tableau,ガ|カク,
168,芽,,艸,8,4,,bud,ガ,め
169,賀,,貝,12,5,,congratulations,ガ,
170,雅,,隹,13,S,,gracious,ガ,
171,餓,,食,15,S,,starve,ガ,
172,介,,人,4,S,,jammed in,カイ,
173,回,,囗,6,2,,times,カイ|（エ）,まわ-る|まわ-す
174,灰,,火,6,6,,ashes,カイ,はい
175,会,會,曰,6,2,,association,カイ|エ,あ-う
176,快,,心,7,5,,cheerful,カイ,こころよ-い
177,戒,,戈,7,S,,commandment,カイ,いまし-める
178,改,,攴,7,4,,reformation,カイ,あらた-める|あらた-まる
179,怪,,心,8,S,,suspicious,カイ,あや-しい|あや-しむ
180,拐,,手,8,S,1981,kidnap,カイ,
181,悔,悔,心,9,S,,repent,カイ,く-いる|く-やむ|くや-しい
182,海,海,水,9,2,,sea,カイ,うみ
183,界,,田,9,3,,world,カイ,
184,皆,,白,9,S,,all,カイ,みな
185,械,,木,11,4,,contraption,カイ,
186,絵,繪,糸,12,2,,picture,カイ|エ,
187,開,,門,12,3,,open,カイ,ひら-く|ひら-ける|あ-く|あ-ける
188,階,,阜,12,3,,floor of a building,カイ,
189,塊,,土,13,S,,clod,カイ,かたまり
190,楷,,木,13,S,2010,square character style,カイ,
