# Frequency list from Netflix subtitles (80,000 documents) shared here: https://www.youtube.com/watch?v=DwJWld8hW0M	﻿# Frequency list from Netflix subtitles (80,000 documents) shared here: https://www.youtube.com/watch?v=DwJWld8hW0M
# Readings (second column) were added using pykakasi
の	ノ
だ	ダ
は	ハ
た	タ
に	ニ
を	ヲ
が	ガ
て	テ
する	スル
ない	ナイ
よ	ヨ
と	ト
で	デ
か	カ
も	モ
てる	テル
ん	ン
です	デス
ます	マス
ね	ネ
いる	イル
な	ナ
から	カラ
何	ナニ
う	ウ
ある	アル
私	ワタシ
こと	コト
わ	ワ
れる	レル
いい	イイ
そう	ソウ
なる	ナル
じゃ	ジャ
人	ニン
俺	オレ
言う	イウ
この	コノ
たい	タイ
って	ッテ
やる	ヤル
これ	コレ
行く	イク
分かる	ワカル
君	クン
ば	バ
くれる	クレル
それ	ソレ
でも	デモ
ぞ	ゾ
どう	ドウ
見る	ミル
来る	クル
くる	クル
お前	オマエ
さん	サン
けど	ケド
お	オ
思う	オモウ
もう	モウ
その	ソノ
や	ヤ
できる	デキル
あなた	アナタ
さ	サ
だけ	ダケ
僕	ボク
あっ	アッ
ここ	ココ
へ	ヘ
ああ	アア
せる	セル
よう	ヨウ
彼	カレ
あ	ア
まで	マデ
られる	ラレル
たち	タチ
今	イマ
知る	シル
時	トキ
誰	ダレ
え	エ
あの	アノ
聞く	キク
はい	ハイ
出る	デル
話	ハナシ
く	ク
ため	タメ
年	ネン
待つ	マツ
前	マエ
どこ	ドコ
気	キ
音	オト
なぜ	ナゼ
彼女	カノジョ
中	ナカ
うん	ウン
そんな	ソンナ
違う	チガウ
大丈夫	ダイジョウブ
ぬ	ヌ
自分	ジブン
なんて	ナンテ
のに	ノニ
いく	イク
男	オトコ
よい	ヨイ
まだ	マダ
し	シ
ありがとう	アリガトウ
ちょっと	チョット
また	マタ
みんな	ミンナ
いや	イヤ
やめる	ヤメル
かも	カモ
悪い	ワルイ
いう	イウ
死ぬ	シヌ
みたい	ミタイ
だって	ダッテ
日	ニチ
家	イエ
みる	ミル
時間	ジカン
早い	ハヤイ
手	テ
えっ	エッ
もの	モノ
すごい	スゴイ
話す	ハナス
ダメ	ダメ
くださる	クダサル
殺す	コロス
戻る	モドル
なんだ	ナンダ
持つ	モツ
帰る	カエル
だから	ダカラ
こんな	コンナ
今日	キョウ
ら	ラ
目	メ
入る	イル
仕事	シゴト
よく	ヨク
好き	スキ
必要	ヒツヨウ
ちゃん	チャン
ちゃう	チャウ
より	ヨリ
考える	カンガエル
会う	アウ
女	オンナ
じゃあ	ジャア
食べる	タベル
同じ	オナジ
ねえ	ネエ
はず	ハズ
あれ	アレ
という	トイウ
ええ	エエ
本当に	ホントウニ
おい	オイ
あと	アト
あんた	アンタ
とか	トカ
使う	ツカウ
もらう	モラウ
ぜ	ゼ
ほう	ホウ
子	コ
作る	ツクル
さあ	サア
すぐ	スグ
分	フン
先生	センセイ
問題	モンダイ
すぎる	スギル
様	サマ
次	ツギ
ご	ゴ
他	ホカ
バカ	バカ
入れる	イレル
だが	ダガ
心配	シンパイ
出す	ダス
信じる	シンジル
頼む	タノム
そして	ソシテ
まあ	マア
電話	デンワ
なさる	ナサル
車	クルマ
子供	コドモ
一	イチ
者	モノ
ただ	タダ
私たち	ワタシタチ
お願い	オネガイ
一緒に	イッショニ
しか	シカ
見える	ミエル
べし	ベシ
後	ノチ
わけ	ワケ
こっち	コッチ
として	トシテ
どうも	ドウモ
人間	ニンゲン
ママ	ママ
忘れる	ワスレル
声	コエ
友達	トモダチ
もっと	モット
呼ぶ	ヨブ
顔	カオ
力	チカラ
しまう	シマウ
最高	サイコウ
うち	ウチ
