# Original data taken from https://ko.wiktionary.org/wiki/부록:한문_교육용_기초_한자_1800
# Wiktionary content is dual licensed under CC-BY-SA and GFDL
# Fields: character, level ("m" or "h" indicating middle or high school), Sino-korean pronunciation, meaning of the character in Korean
# The eum and hun fields together form the character's "eumhun", which serves as the name of the character in Korean.
char,level,eum,hun
一,m,일,한
丁,m,정,고무래
七,m,칠,일곱
丈,h,장,어른
三,m,삼,석
上,m,상,위
下,m,하,아래
不,m,불,아닐
丑,m,축,소
且,m,차,또
世,m,세,세상
丘,h,구,언덕
丙,m,병,남녘
中,m,중,가운데
丸,h,환,알
丹,m,단,붉을
主,m,주,주인
乃,m,내,이에
久,m,구,오랠
之,m,지,갈
乎,m,호,어조사
乘,m,승,탈
乙,m,을,새
九,m,구,아홉
乞,h,걸,빌
也,m,야,어조사
乳,h,유,젖
乾,m,건,하늘
亂,h,란,어지러울
了,h,료,마칠
予,h,여,나
事,m,사,일
二,m,이,두
于,m,우,어조사
云,m,운,이를
互,h,호,서로
五,m,오,다섯
井,m,정,우물
亞,h,아,버금
亡,m,망,망할
交,m,교,사귈
亥,m,해,돼지
亦,m,역,또
亨,h,형,형통할
享,h,향,누릴
京,m,경,서울
亭,h,정,정자
人,m,인,사람
仁,m,인,어질
今,m,금,이제
介,h,개,끼일
仕,m,사,벼슬할
他,m,타,다를
付,h,부,줄
仙,m,선,신선
代,m,대,대신할
令,m,령,명령할
以,m,이,써
仰,m,앙,우러를
仲,h,중,버금
件,h,건,사건
任,h,임,맡길
企,h,기,꾀할
伏,m,복,엎드릴
伐,m,벌,칠
休,m,휴,쉴
伯,h,백,맏
伴,h,반,짝
伸,h,신,펼
似,h,사,같을
但,m,단,다만
位,m,위,자리
低,m,저,밑
住,m,주,살
佐,h,좌,도울
何,m,하,어찌
余,m,여,나
佛,m,불,부처
作,m,작,지을
佳,m,가,아름다울
使,m,사,시킬
來,m,래,올
例,m,례,법식
侍,h,시,모실
供,h,공,이바지할
依,m,의,의지할
侮,h,모,업신여길
侯,h,후,제후
侵,h,침,침노할
便,m,편,편할
係,h,계,걸릴
促,h,촉,재촉할
俊,h,준,준걸
俗,m,속,풍속
保,m,보,지킬
信,m,신,믿을
修,m,수,닦을
俱,h,구,함께
倉,h,창,곳집
個 / 箇,m,개,낱
倍,h,배,곱
倒,h,도,넘어질
候,h,후,기후
借,m,차,빌
倣,h,방,본뜰
値,h,치,값
倫,m,륜,인륜
假,m,가,거짓
偉,m,위,훌륭할
偏,h,편,치우칠
停,m,정,머무를
健,h,건,튼튼할
側,h,측,곁
偶,h,우,짝
傍,h,방,곁
傑,h,걸,뛰어날
備,m,비,갖출
催,h,최,재촉할
傲,h,오,거만할
傳,m,전,전할
債,h,채,빚
傷,m,상,상처
傾,h,경,기울
僅,h,근,겨우
像,h,상,형상
僚,h,료,동료
僞,h,위,거짓
僧,h,승,중
價,m,가,값
儀,h,의,거동
億,m,억,억
儉,h,검,검소할
儒,h,유,선비
償,h,상,갚을
優,h,우,넉넉할
元,m,원,으뜸
兄,m,형,맏
充,m,충,찰
兆,m,조,조짐
先,m,선,먼저
光,m,광,빛
克,h,극,이길
免,m,면,면할
兒,m,아,아이
入,m,입,들
內,m,내,안
全,m,전,온전할
兩,m,량,두
八,m,팔,여덟
公,m,공,공변될
六,m,륙,여섯
兮,h,혜,어조사
共,m,공,함께
兵,m,병,군사
其,m,기,그
具,h,구,갖출
典,m,전,법
兼,h,겸,겸할
冊,m,책,책
再,m,재,두
冒,h,모,무릅쓸
冠,h,관,갓
冥,h,명,어두울
冬,m,동,겨울
冷,m,랭,찰
凉,m,량)[4],서늘할
凍,h,동,얼
凝,h,응,엉길
凡,m,범,무릇
凶,m,흉,흉할
出,m,출,날
刀,m,도,칼
分,m,분,나눌
切,h,절,끊을
刊,h,간,책 펴낼
刑,m,형,형벌
列,m,렬,벌일
初,m,초,처음
判,m,판,판가름할
別,m,별,나눌
利,m,리,이로울
到,m,도,이를
制,h,제,억제할
刷,h,쇄,쓸
券,h,권,문서
刺,h,자,찌를
刻,h,각,새길
則,m,칙,법칙
削,h,삭,깎을
前,m,전,앞
剛,h,강,굳셀
副,h,부,버금
割,h,할,나눌
創,h,창,비롯할
劃,h,획,그을
劇,h,극,심할
劍 / 劒,h,검,칼
力,m,력,힘
功,m,공,공로
加,m,가,더할
劣,h,렬,못할
助,m,조,도울
努,h,노,힘쓸
勇,m,용,날랠
勉,m,면,힘쓸
動,m,동,움직일
務,m,무,일
勝,m,승,이길
勞,m,로,일할
募,h,모,모을
勢,m,세,기세
勤,m,근,부지런할
勵,h,려,힘쓸
勸,m,권,권할
勿,m,물,말
包,h,포,쌀
化,m,화,될
北,m,북,북녘
匹,m,필,짝
區,h,구,지경
十,m,십,열
千,m,천,일천
午,m,오,낮
半,m,반,반
卑,h,비,낮을
卒,m,졸,군사
卓,h,탁,높을
協,m,협,화할
南,m,남,남녘
博,h,박,넓을
卜,h,복,점
占,h,점,차지할
卯,m,묘,토끼
印,m,인,도장
危,m,위,위태할
却,h,각,물리칠
卵,m,란,알
卷,m,권,책
卽,m,즉,곧
卿,h,경,벼슬
厄,h,액,재앙
厚,m,후,두터울
原,m,원,근원
厥,h,궐,그
去,m,거,갈
參,m,참,간여할
又,m,우,또
及,m,급,미칠
友,m,우,벗
反,m,반,되돌릴
叔,m,숙,아재비
取,m,취,취할
受,m,수,받을
叛,h,반,배반할
口,m,구,입
古,m,고,옛
句,m,구,글귀
只,m,지,다만
叫,h,규,부르짖을
召,h,소,부를
可,m,가,옳을
史,m,사,역사
右,m,우,오른쪽
司,h,사,맡을
各,m,각,하나하나
合,m,합,합할
吉,m,길,길할
同,m,동,한가지
名,m,명,이름
吏,h,리,벼슬아치
吐,h,토,토할
向,m,향,향할
君,m,군,임금
吟,m,음,읊을
否,m,부,아닐
含,h,함,머금을
吸,h,흡,숨 들이쉴
吹,m,취,불
吾,m,오,나
告,m,고,알릴
周,h,주,두루
味,m,미,맛
呼,m,호,부를
命,m,명,목숨
和,m,화,화할
咸,h,함,다
哀,m,애,슬플
品,m,품,물건
哉,m,재,어조사
員,h,원,관원
哭,h,곡,울
哲,h,철,밝을
唐,h,당,당나라
唯,m,유,오직
唱,m,창,노래
商,m,상,장사
問,m,문,물을
啓,h,계,열
善,m,선,착할
喜,m,희,기쁠
喪,m,상,죽을
單,m,단,홑
嗚,h,오,탄식소리
嘗,h,상,맛볼
器,h,기,그릇
嚴,m,엄,엄할
囚,h,수,가둘
四,m,사,넉
回,m,회,돌
因,m,인,인할
困,m,곤,괴로울
固,m,고,굳을
國,m,국,나라
圍,h,위,둘레
園,m,원,동산
圓,m,원,둥글
圖,m,도,그림
團,h,단,둥글
土,m,토,흙
在,m,재,있을
