# Phonetic series according to 上古音系 (Old Chinese Phonology), by 鄭張尚芳 (Shangfang Zhengzhang), 2003.
# Downloaded from https://en.wiktionary.org/wiki/Wiktionary:About_Chinese/phonetic_series and /phonetic_series_2
component,IPA,members
𦚢,(*qʷal),𦚢𩨭
𢦏,(*ʔslɯː),𢦏栽哉烖載渽睵溨裁酨蛓胾
𥁕,(*quːn),媪蝹溫𥁕輼蕰殟豱緼韞瘟揾氲煴馧蒀藴褞醖慍蘊腽榅嗢
𧶠,(*luɡ),竇續覿黷讟殰讀櫝牘儥贕皾瓄瀆豄韇嬻犢匵藚襩贖𧶠
䜌,(*b·roːn),蠻矕變鸞巒灤欒鑾臠羉䜌灓圝曫孿彎灣攣孌戀㪻
一,(*qliɡ),一弌
丁,(*rteːŋ),圢町打盯朾丁玎虰揨釘靪仃叮疔頂奵耵酊葶矴訂飣汀艼庁婷停聤渟楟亭
丂,(*kʰluːʔ),丂攷考烤拷栲洘銬巧朽
七,(*sn̥ʰid),切砌沏七柒叱
丈,(*daŋʔ),丈杖仗
三,(*suːm),三弎
上,(*djaŋʔ),丄上
下,(*ɡraːʔ),丅下芐
不,(*pɯ),肧俖娝痞丕伾秠駓怌豾髬魾鉟嚭邳岯否抔不紑鴀衃罘芣杯盃桮坯胚
丏,(*meːnʔ),汅沔丏眄麪
丐,(*kaːds),丐匄
丑,(*n̥ʰuʔ),峱紐扭狃鈕忸杻莥羞丑沑粈衄
且,(*sʰjaːʔ),虘蔖摣袓怚罝謯姐抯飷且趄笡查柤樝皻渣楂苴駔租蒩祖組珇靻粗徂殂麆伹蛆沮咀疽雎狙岨砠坥刞覰覷跙筯菹葅阻俎詛鉏豠鋤耡齟助
世,(*hljebs),貰跇迣世泄枻詍靾袣抴呭勩屜鰈渫煠喋鞢殜葉弽韘枼楪揲鍱偞蝶牒蹀諜堞牃褋惵碟屧屟紲齛疶緤媟
丘,(*kʰʷɯ),丘邱蚯丠
