char	codepoint	readings
〇	U+3007	linh
〡	U+3021	nhất
〢	U+3022	nhị
〣	U+3023	tam
〤	U+3024	tứ
〥	U+3025	ngũ
〦	U+3026	lục
〧	U+3027	thất
〨	U+3028	bát
〩	U+3029	truy
㐀	U+3400	khâu|khưu|thượng
㐁	U+3401	thiểm
㐂	U+3402	hỷ
㐄	U+3404	khỏa
㐅	U+3405	ngũ
㐆	U+3406	y|ẩn
㐌	U+340C	di|hung
㐖	U+3416	hiệt
㐜	U+341C	cừu
㐡	U+3421	nạo|nọa
㐧	U+3427	đệ
㐨	U+3428	thự|tự
㐫	U+342B	hung
㐬	U+342C	lưu
㐭	U+342D	lẫm
㐮	U+342E	tương
㐯	U+342F	dung
㐰	U+3430	tín
㐱	U+3431	chẩn
㐳	U+3433	ngật|ngột
㐴	U+3434	phan
㐸	U+3438	khiếm
㐹	U+3439	ngật
㐺	U+343A	chúng
㐼	U+343C	chửng
㑂	U+3442	phảng|phỏng
㑃	U+3443	áo|ảo
㑄	U+3444	vũ
㑅	U+3445	tác
㑌	U+344C	uông
㑍	U+344D	lỗi
㑏	U+344F	trữ
㑗	U+3457	thân
㑘	U+3458	giới
㑚	U+345A	na|nả
㑞	U+345E	dựng
㑤	U+3464	miêu
㑧	U+3467	quý
㑩	U+3469	la
㑪	U+346A	sài
㑫	U+346B	nộm
㑳	U+3473	trâu
㑴	U+3474	xâm
㑵	U+3475	tật
㑶	U+3476	khái
㑷	U+3477	thái
㑹	U+3479	cối|hội
㑺	U+347A	tuấn
㑾	U+347E	dao
㑿	U+347F	sảo
㒁	U+3481	ngu
㒃	U+3483	nhị
㒆	U+3486	hấp
㒇	U+3487	vũ
㒉	U+3489	sưởng|thưởng|thảng
㒊	U+348A	sáp
㒋	U+348B	tư
㒌	U+348C	quỳnh
㒍	U+348D	luy
㒒	U+3492	bộc
㒓	U+3493	thát
㒖	U+3496	ngẫu
㒗	U+3497	đài|đại
㒚	U+349A	ổn
㒟	U+349F	niểu
㒠	U+34A0	giới
㒦	U+34A6	lỗi
㒧	U+34A7	lệ
㒨	U+34A8	tiên
㒩	U+34A9	lõa
㒪	U+34AA	tích
㒫	U+34AB	ký
㒭	U+34AD	côn
㒰	U+34B0	toàn
㒲	U+34B2	tài
㒳	U+34B3	lưỡng
㒵	U+34B5	mạo
㒶	U+34B6	công
㒷	U+34B7	hưng|hứng
㒸	U+34B8	toại
㒹	U+34B9	điên
㒻	U+34BB	mạo
㒼	U+34BC	man
㒿	U+34BF	ly
㓂	U+34C2	khấu
㓃	U+34C3	ẩm
㓅	U+34C5	đinh
㓏	U+34CF	quýnh
㓔	U+34D4	tạ
㓖	U+34D6	khế|tất
㓗	U+34D7	khiết
㓘	U+34D8	túc
㓙	U+34D9	hung
㓛	U+34DB	công
㓜	U+34DC	ấu
㓝	U+34DD	hình
㓞	U+34DE	khế
㓟	U+34DF	phay
㓠	U+34E0	chẻm|điếm
㓡	U+34E1	phủ
㓣	U+34E3	cát|kháp
㓤	U+34E4	khiết|thích
㓨	U+34E8	thích
㓪	U+34EA	lãng
㓬	U+34EC	khô
㓭	U+34ED	hạt
㓮	U+34EE	điêu
㓯	U+34EF	ly|lễ
㓰	U+34F0	hoạch
㓱	U+34F1	du
㓵	U+34F5	ngạc
㓶	U+34F6	khiết|khía
㓷	U+34F7	nghị|nhị|tỵ
㓸	U+34F8	trác
㓹	U+34F9	nhuệ
㓺	U+34FA	kiện
㓻	U+34FB	cương
㔃	U+3503	tuyệt
㔇	U+3507	bát
㔘	U+3518	truất
㔜	U+351C	bột
㔢	U+3522	tuyệt
㔥	U+3525	bì
㔨	U+3528	bối
㔩	U+3529	hạp|áp
㔬	U+352C	trác
㔭	U+352D	chủy|thì
㔮	U+352E	na
㔯	U+352F	toán
㔰	U+3530	hằng
㔱	U+3531	du
㔲	U+3532	quỹ
㔳	U+3533	quỹ
㔷	U+3537	lậu
㔸	U+3538	ty
㔹	U+3539	lặc
㔺	U+353A	thế
㔻	U+353B	phi
㔼	U+353C	chuẩn
㔽	U+353D	dữu
㔾	U+353E	tiết
㕁	U+3541	khước
㕂	U+3542	ngâm
㕄	U+3544	chỉ
㕉	U+3549	hạp
㕊	U+354A	phu
㕍	U+354D	đôi
㕎	U+354E	áp
㕏	U+354F	trù
㕑	U+3551	trù
㕒	U+3552	nguy
㕓	U+3553	triền
㕔	U+3554	sảnh
㕕	U+3555	huyễn|ảo
㕖	U+3556	tố
㕗	U+3557	dụ
㕘	U+3558	sâm|tham
㕙	U+3559	xuân
㕚	U+355A	trảo
㕛	U+355B	hữu
㕜	U+355C	sử
㕞	U+355E	loát|soát
㕟	U+355F	vị
㕠	U+3560	khái|song
㕡	U+3561	hác
㕢	U+3562	khái
㕧	U+3567	thi
㕫	U+356B	phảng|phỏng
㕬	U+356C	tụng
㕭	U+356D	ao|áo|êu
㕰	U+3570	ma|mau
㕳	U+3573	hung
㕵	U+3575	uống
㕶	U+3576	ba|mặc
㕷	U+3577	ba
㕸	U+3578	lắp
㕹	U+3579	phạt
㕺	U+357A	hiêu
㖁	U+3581	lận
㖂	U+3582	duệ
㖃	U+3583	cấu|hấu|hậu|hống|tầm
㖇	U+3587	nhe
㖊	U+358A	tầm
㖑	U+3591	nhái
㖒	U+3592	đề
㖗	U+3597	sùm
㖘	U+3598	chấn|thần
㖞	U+359E	oa
㖠	U+35A0	nhại|ná|nọa
㖣	U+35A3	phủ|vòi
㖧	U+35A7	hôn|vẫn
㖫	U+35AB	lừng
㖭	U+35AD	thiểm
㖶	U+35B6	nhân|yết
㖸	U+35B8	ngược
㖹	U+35B9	phún|vồn
㖼	U+35BC	mưu|mỏ
㖽	U+35BD	hợt|trách
㖾	U+35BE	ngạc
㖿	U+35BF	gia|ngạc
㗀	U+35C0	u
㗁	U+35C1	ngạc
㗃	U+35C3	vẫn
㗄	U+35C4	man|mạn
㗅	U+35C5	hồ
㗆	U+35C6	cách
㗈	U+35C8	mạn
㗉	U+35C9	lược|trứu
㗊	U+35CA	lôi
㗋	U+35CB	bái|hầu
㗑	U+35D1	bái|bới
㗖	U+35D6	thào|đạm
㗙	U+35D9	sò|xu
㗚	U+35DA	trắt
㗛	U+35DB	tiếu
㗜	U+35DC	khứu|súc
㗢	U+35E2	rống
㗣	U+35E3	đế
㗦	U+35E6	liêu
㗴	U+35F4	nhằn
㗽	U+35FD	hưởng
㗿	U+35FF	hà
㘅	U+3605	hàm
㘇	U+3607	vang
㘈	U+3608	ngực
㘉	U+3609	chất
㘊	U+360A	hấp
㘋	U+360B	hờn
㘌	U+360C	cược
㘓	U+3613	lan|lạn|ran
㘕	U+3615	hám|lam
㘛	U+361B	khảm
㘜	U+361C	thù
㘡	U+3621	hiệp
㘢	U+3622	ống
㘣	U+3623	viên
㘤	U+3624	oan
㘥	U+3625	ngoa|y
㘦	U+3626	y
㘧	U+3627	tự
㘨	U+3628	nồi
㘪	U+362A	háo
㘫	U+362B	tỉnh
㘬	U+362C	ao
㘭	U+362D	ao
㘰	U+3630	châm
㘱	U+3631	than
㘳	U+3633	khâu|khưu
㘴	U+3634	tọa
㘶	U+3636	kiệt
㘷	U+3637	ngải
㘸	U+3638	táng|tọa
㘿	U+363F	niết|nát
㙄	U+3644	bệ
㙅	U+3645	bảo
㙊	U+364A	trường
㙐	U+3650	đóa
㙑	U+3651	vũ
㙒	U+3652	dã
㙔	U+3654	hàn
㙕	U+3655	khối
㙗	U+3657	khối
㙜	U+365C	đài
㙢	U+3662	man|mạn
㙤	U+3664	há|hố
㙧	U+3667	lựu
㙨	U+3668	kỳ
㙬	U+366C	ngân
㙮	U+366E	đắp
㙯	U+366F	nghệ
㙲	U+3672	úng
㙳	U+3673	khảm
㙴	U+3674	thềm
㙵	U+3675	đài
㙶	U+3676	đường
㙷	U+3677	trấp
㙸	U+3678	phác
㙹	U+3679	mộng
㙻	U+367B	triền
㙼	U+367C	lũy
㚀	U+3680	khuy
㚇	U+3687	tông
㚌	U+368C	khỏa|lõa
㚐	U+3690	sáo
㚒	U+3692	siểm|thiểm
㚔	U+3694	niệp
㚕	U+3695	bật
㚖	U+3696	trạch
㚘	U+3698	bạn
㚝	U+369D	khuê
㚢	U+36A2	hối|nô|vũ
㚣	U+36A3	giảo|kiều
㚦	U+36A6	cơ
㚧	U+36A7	ngẫm|tiêm
㚩	U+36A9	nhiêm
㚮	U+36AE	đam
㚰	U+36B0	phôi
㚶	U+36B6	tự
㚷	U+36B7	nãi
㚹	U+36B9	lữu|miêu
㚺	U+36BA	dựng
㚻	U+36BB	cơ|ky
㚼	U+36BC	nữu
㚿	U+36BF	bào
㛐	U+36D0	tẩu
㛔	U+36D4	phong
㛕	U+36D5	áp|ấp
㛛	U+36DB	thần
㛟	U+36DF	xanh
㛩	U+36E9	trục
㛪	U+36EA	em
㛮	U+36EE	tẩu
㛯	U+36EF	miễn|vãn
㛰	U+36F0	hôn|đế
㛲	U+36F2	phát
㛳	U+36F3	đế
㛴	U+36F4	não
㛹	U+36F9	tiên
㛺	U+36FA	am
㛼	U+36FC	sáp
㜏	U+370F	vân
㜑	U+3711	bà|lạo
㜕	U+3715	liên
㜗	U+3717	liệu|lạo
㜛	U+371B	nộn
㜜	U+371C	ngạo
㜪	U+372A	tần
㜫	U+372B	mĩ
㜲	U+3732	doanh
㜴	U+3734	mông
㜸	U+3738	nghiệt
㜻	U+373B	luyến
㜼	U+373C	điệt
㜽	U+373D	tý|tử
㜾	U+373E	hài
㝀	U+3740	hiếu|hảo
㝁	U+3741	hoàn|huyên|huyền|quynh|uyên
㝃	U+3743	miễn
㝄	U+3744	thuần
㝇	U+3747	thuần
㝈	U+3748	luyến
㝉	U+3749	trữ
㝊	U+374A	thủ
㝌	U+374C	cứu
㝍	U+374D	tả
㝎	U+374E	định
㝏	U+374F	giới
㝐	U+3750	dong|dung
㝑	U+3751	bàng
㝒	U+3752	cư
㝔	U+3754	yểu
㝕	U+3755	ninh
㝗	U+3757	lang
㝙	U+3759	dần
㝛	U+375B	túc
㝟	U+375F	mạo
㝠	U+3760	minh
㝡	U+3761	tối
㝢	U+3762	vũ
㝧	U+3767	ổn
㝭	U+376D	tinh
㝱	U+3771	mộng
㝲	U+3772	tẩm
㝴	U+3774	ngoan
㝵	U+3775	ngại|đắc|đức
㝶	U+3776	đắc
㝸	U+3778	biền|biện
㝻	U+377B	cận
㝿	U+377F	bả|cư
㞆	U+3786	khi|kỷ
㞌	U+378C	dựng
㞐	U+3790	cư
㞑	U+3791	vĩ
㞒	U+3792	giải|tùng
㞕	U+3795	tiết
㞖	U+3796	lộng
㞘	U+3798	đồn
㞙	U+3799	niệu
㞛	U+379B	lý
㞞	U+379E	tùng
㞟	U+379F	điện
㞡	U+37A1	triển
㞢	U+37A2	chi|tri
㞣	U+37A3	phân
㞤	U+37A4	sầm
㞧	U+37A7	cối|hội
㞩	U+37A9	lam
㞪	U+37AA	nao
㞫	U+37AB	tẩu
㞮	U+37AE	xuất
㞯	U+37AF	tiết
㞴	U+37B4	mân
㞶	U+37B6	mân
㞸	U+37B8	tuế
㞹	U+37B9	khả
㞺	U+37BA	thác|tộc
㞼	U+37BC	thừa
㞾	U+37BE	ni
㞿	U+37BF	kỳ
㟁	U+37C1	ngạn
㟃	U+37C3	ty|tư
㟄	U+37C4	thác
㟅	U+37C5	ngung
㟋	U+37CB	lộng|đoái
㟖	U+37D6	lộng
㟚	U+37DA	kỳ
㟝	U+37DD	bẫu|bồi
㟟	U+37DF	hạng
㟠	U+37E0	cương
㟤	U+37E4	lục
㟥	U+37E5	sâm
㟩	U+37E9	mân
㟪	U+37EA	ủy
㟫	U+37EB	tuyền
㟬	U+37EC	ngôi|tẩu
㟭	U+37ED	mân
㟴	U+37F4	ngôi|thiêm
㟵	U+37F5	cương
㟻	U+37FB	tiệm
㠀	U+3800	đảo
㠊	U+380A	khu
㠋	U+380B	ngạc
㠌	U+380C	khảm
㠍	U+380D	tiệp
㠐	U+3810	kiêu
㠕	U+3815	nguy|ngôi
㠗	U+3817	áo
㠘	U+3818	dữ|tự
㠙	U+3819	hào
㠜	U+381C	ngực
㠝	U+381D	toản
㠩	U+3829	hoang
㠪	U+382A	cự|thượng
㠯	U+382F	chi|dĩ
㠱	U+3831	cứ|ky
㠶	U+3836	phàm
㠸	U+3838	phu
㠻	U+383B	hy
㠿	U+383F	thử
㡀	U+3840	bề
