char	codepoint	removals	additions
彐	U+5F50		kẹ|kệ
担	U+62C5		dứt|đán|đét
挼	U+633C		nhôi|noi|nôi|nối|nổi|nuôi
更	U+66F4	xâu	cành|cánh|ngạnh
東	U+6771	hốc	đang
柆	U+67C6	cũi	
柑	U+67D1	đàn	cùm
柿	U+67FF	niêu	
栗	U+6817	niêu	lặt|lứt|rất|rật|rứt|sắt|sật|sựt|trật
校	U+6821	đắng	chò|giâu
案	U+6848	duyên	an|yên
棍	U+68CD	điềm	gon|gòn
棟	U+68DF	nhắm	chống|đóng|đúng|gióng
棧	U+68E7	suông	sạn|sến
榔	U+6994	tóm	lăng|trang
榖	U+6996	kéo	
榜	U+699C	xách	báng|bảng|bãng|bấng|bẩng|bẫng|bứng|bửng|fi|fi|vảng
樳	U+6A33	đẽo	tầm
檁	U+6A81	day	bấm
檬	U+6AAC	quạt	môm|mông|muỗm
櫊	U+6ACA	hàn	
欄	U+6B04	đan	giàn|lang|lán|lơn|lườn|ràn
歆	U+6B46	cắn	ham|hám|hăm|hằm|hẩm|hom|hôm|hổm|hum
死	U+6B7B	phơi	tợ
殃	U+6B83	trưa	
殘	U+6B98	đêm	thàn
殼	U+6BBC	nôi	
每	U+6BCF	dằm	hỏi|mỏi|mọi|mủ|mủi|mũi
毬	U+6BEC	choác	
水	U+6C34	héo	
汐	U+6C50	đập	tịch
汕	U+6C55	khung	sán|sớn
汰	U+6C70	vè	sưởi|thải|thãi|thẩy
汲	U+6C72	cụm	bập|cấp
沒	U+6C92	mớ	mốt
沖	U+6C96	khem	trùng|xung
沙	U+6C99	vành	nhểu|sà|xa|xoà
沱	U+6CB1	săng	đà|đừ
泥	U+6CE5	nhãn	lầy|ne|nè|né|nê|nể|nễ|nệ|nơi
泪	U+6CEA	thớt	
洁	U+6D01	thợ	khiết
洪	U+6D2A	suyền	hòng
洲	U+6D32	chòng	châu
洷	U+6D37	sờ	
涖	U+6D96	rang	lị|rỉ
淟	U+6DDF	sượng	
淢	U+6DE2	thổi	vặc
渭	U+6E2D	ngan|vây	vấy|vĩ|vị|vời|vợi
湈	U+6E48	sói	
澆	U+6F86	khú	kiêu|nhau|nhiều
澎	U+6F8E	dề	bềnh
激	U+6FC0	váng	kích
濕	U+6FD5	lậu	dấp|nhấp|thấm
瀾	U+703E	nhắm	lan|lượn|ràn|tràn|trơn
灑	U+7051	ngơ	rạy|rởi|rưới|sái|sợi
炊	U+708A	tròn	xôi|xuy|xuý
炖	U+7096	đoái	don|đôn
炳	U+70B3	đòng	bảnh
熅	U+7185	đào	un
熑	U+7191	mũi	
燎	U+71CE	díp	leo|riu
爐	U+7210	chùa	lò|lư|tro
牆	U+7246	teo	
牟	U+725F	rậm	mào|mau|mâu|mầu|mồ|mưu
狼	U+72FC	lừa	
猿	U+733F	rô	viên
獄	U+7344	đong	
獅	U+7345	tép	
玳	U+73B3	ngan	đại
玷	U+73B7	dẽ	đém
珥	U+73E5	yến	lẹ|nhĩ|nhị
瑁	U+7441	cười	mao|mạo|mùi
瑤	U+7464	rơm	
璃	U+7483	rế	lê|ly
瓊	U+74CA	sừng	quành|quạnh|quầng|quềnh|quýnh
瓷	U+74F7	dậu	tư|từ
甘	U+7518	bả	
畜	U+755C	chuỗi	róc|sộc|sục|xộc
畢	U+7562	đứt	
番	U+756A	dẻo	phan|phiên|phiện
痕	U+75D5	nốt	hằn|ngằn|ngân|ngần|ngẩn
癆	U+7646	còm	
癐	U+7650	quặm	hội
百	U+767E	vầu	bá|trăm
皋	U+768B	đậu	cao
盆	U+76C6	phơ	bòn|bộn|bùn|buồn|dồn|vồn
盲	U+76F2	xồm	
看	U+770B	trầu	khán|khản|khăn|khen|khớn
眭	U+772D	vờ	huy|khoẻ
眼	U+773C	cua	nhãn|nhặn|nhẫn|nhởn
睒	U+7752	cò	gượm|thiểm
瞑	U+7791	thằn	minh
瞳	U+77B3	chàng	đồng
矑	U+77D1	kẻ	lư|lừ
矢	U+77E2	ngao	tẻ|thẻ
研	U+7814	khăn	nghiền|nghiến|nghiện
砧	U+7827	khâm	châm|chiêm
砭	U+782D	đãy	bàm|bãm|bâm|bẫm|biêm|bom|bơm|bờm
砲	U+7832	bâu	bác|phao
硬	U+786C	khư	
硯	U+786F	khố	nghẽn|nghiên|nghiễn
碞	U+789E	yếm	
碧	U+78A7	cời	biếc|vách
磋	U+78CB	vải	gây|xay|xây|xoay
磷	U+78F7	co	
礬	U+792C	trối	phàn
示	U+793A	đình	kì
禫	U+79AB	thiện	
禹	U+79B9	dừng	
租	U+79DF	dịp	to|tò
稊	U+7A0A		
穭	U+7A6D	hớt	
笘	U+7B18	đồn	chùm|chũm|chụm|đệm|rơm|xờm|xúm
笙	U+7B19	dấm	sanh|sềnh|sinh|xênh
第	U+7B2C	nồng	đậy
箴	U+7BB4	bú	chăm|châm|dăm|giằm
籚	U+7C5A	gắt	lơ|lư|lừ
糆	U+7CC6	à	
紩	U+7D29	nhạu	dệt
縎	U+7E0E	lăm	cốt|cột
縺	U+7E3A	nếm	
繓	U+7E53	nhè	trói|túi
翎	U+7FCE	ầm	liếng|linh
耙	U+8019	khịt	bà|bá|bồ
聀	U+8040	giõng	chắc|chức|nhức|thắc|trác
胒	U+80D2	tiếng	sề
脿	U+813F	óng	
艿	U+827F	ạc|nẩy	nãi|nảy
苲	U+82F2	nghêu	
荑	U+8351	sún	di
莰	U+83B0	vay	khóm
菍	U+83CD	đặt	nộm|núm
菕	U+83D5	hăm	
萩	U+8429	thèm	thưu
蓐	U+84D0	dối	náu|nhục
蕎	U+854E	ướm	kiều
蛦	U+86E6	nhăn	ri
蝒	U+8752	gò	dện|rện
蠓	U+8813	chĩnh	mông|mống
袏	U+888F	ven	tả
躅	U+8E85	ghen	sộc|trọc|trục
迍	U+8FCD	trêu	dọn|đon|đọn|đốn|trốn|truân
迻	U+8FFB	áy	đi|đừa
釟	U+91DF	ngoắt|nhíp	bát|díp
鈙	U+9219	chìa|nhặt	chày
鈮	U+922E	bắn	ni
銙	U+9299	giơ	
鋥	U+92E5	cất	rỉnh
鋲	U+92F2	lấp	
鍄	U+9344	dí	keng
鎬	U+93AC	nhúm	cảo
鎶	U+93B6	nhẹ	
鏗	U+93D7	trét	khanh
鐄	U+9404	bịt	hoàng
鐐	U+9410	banh	liêu
鐒	U+9412	xoá	
鐰	U+9430	khuân	thao
鐻	U+943B	gánh	cự
鑅	U+9445	lỏng	vạnh|vòng
鑕	U+9455	sểnh	chất
鑧	U+9467	thoa	
霂	U+9702	đong	mộc
顒	U+9852	dong	ngong|ngỏng|ngõng|ngọng|ngông|ngung|ngùng|ngủng
髅	U+9AC5	vày	
鮉	U+9B89	quẳng	
鰱	U+9C31	nặn	liên|lờn
